"日付","始値","高値","安値","終値","前日比","出来高","貸株残高","融資残高","貸借倍率","逆日歩","5DMA","25DMA","75DMA","5DVMA","25DVMA","75DVMA"
"2025/06/03","2,681.5","2,684.0","2,655.0","2,675.0","-16.0","17,203,100","54,500","300,900","5.52","-","2,700.20","2,699.68","2,685.11","29,606,160","28,331,548","30,749,981"
"2025/06/02","2,737.5","2,742.5","2,686.5","2,691.0","-78.0","23,342,800","103,500","1,071,600","10.35","-","2,693.20","2,698.98","2,687.12","29,050,400","29,318,872","30,772,182"
"2025/05/30","2,668.5","2,769.0","2,662.0","2,769.0","+34.5","57,613,100","896,200","804,900","0.90","-","2,679.30","2,694.62","2,688.90","27,288,180","29,750,100","30,843,792"
"2025/05/29","2,707.0","2,742.0","2,697.0","2,734.5","+103.0","30,752,500","517,500","249,000","0.48","-","2,650.20","2,682.22","2,690.69","18,790,440","28,234,936","30,580,064"
"2025/05/28","2,680.0","2,680.5","2,631.5","2,631.5","-8.5","19,119,300","91,000","285,100","3.13","-","2,627.30","2,671.66","2,693.74","16,522,560","27,886,468","30,984,008"
"2025/05/27","2,609.0","2,649.5","2,604.0","2,640.0","+18.5","14,424,300","19,900","291,900","14.67","-","2,633.50","2,668.16","2,696.96","16,764,740","27,799,488","31,074,841"
"2025/05/26","2,624.0","2,633.0","2,607.5","2,621.5","-2.0","14,531,700","3,700","286,800","77.51","-","2,640.00","2,662.50","2,699.42","18,881,700","28,154,928","31,418,113"
"2025/05/23","2,647.0","2,649.5","2,620.5","2,623.5","+3.5","15,124,400","41,900","291,100","6.95","-","2,648.70","2,657.60","2,704.11","19,919,640","28,548,484","31,503,880"
"2025/05/22","2,633.0","2,634.5","2,612.0","2,620.0","-42.5","19,413,100","1,000","309,000","309.00","-","2,652.50","2,652.62","2,708.45","21,659,900","29,139,136","31,552,670"
"2025/05/21","2,700.0","2,700.0","2,662.0","2,662.5","-10.0","20,330,200","71,400","284,900","3.99","-","2,659.90","2,644.22","2,712.58","24,109,200","29,413,336","31,533,800"
"2025/05/20","2,724.5","2,727.5","2,649.5","2,672.5","+7.5","25,009,100","86,900","335,500","3.86","-","2,677.30","2,634.52","2,715.61","25,037,960","30,478,288","31,506,917"
"2025/05/19","2,642.5","2,695.0","2,621.5","2,665.0","+22.5","19,721,400","14,900","356,100","23.90","-","2,712.80","2,629.34","2,718.94","27,085,820","31,313,512","31,416,892"
"2025/05/16","2,642.0","2,652.0","2,598.0","2,642.5","-14.5","23,825,700","4,500","360,000","80.00","-","2,730.50","2,617.36","2,721.84","27,183,240","32,353,508","31,487,017"
"2025/05/15","2,709.0","2,718.0","2,647.0","2,657.0","-92.5","31,659,600","96,000","488,500","5.09","-","2,745.90","2,608.80","2,725.60","29,917,580","33,502,304","31,459,016"
"2025/05/14","2,830.0","2,832.5","2,731.0","2,749.5","-100.5","24,974,000","794,500","413,900","0.52","-","2,748.80","2,593.18","2,729.05","33,162,040","35,140,304","31,359,146"
"2025/05/13","2,853.5","2,879.5","2,846.0","2,850.0","+96.5","35,248,400","1,596,000","258,100","0.16","-","2,740.10","2,579.50","2,730.73","34,163,560","36,588,040","31,407,289"
"2025/05/12","2,726.0","2,758.0","2,718.5","2,753.5","+34.0","20,208,500","818,600","272,300","0.33","-","2,726.10","2,566.24","2,731.00","34,323,460","37,718,376","31,271,165"
"2025/05/09","2,750.0","2,756.5","2,685.5","2,719.5","+48.0","37,497,400","547,500","226,600","0.41","-","2,725.60","2,562.34","2,731.46","34,091,640","38,022,060","31,304,257"
"2025/05/08","2,706.0","2,740.0","2,632.5","2,671.5","-34.5","47,881,900","162,300","229,900","1.42","-","2,727.50","2,558.78","2,733.02","34,912,500","37,570,888","31,150,564"
