"日付","始値","高値","安値","終値","前日比","出来高","貸株残高","融資残高","貸借倍率","逆日歩","5DMA","25DMA","75DMA","5DVMA","25DVMA","75DVMA"
"2025/06/03","7,430.0","7,444.0","7,377.0","7,377.0","+22.0","4,130,500","5,000","109,900","21.98","-","7,614.80","7,521.96","7,754.32","6,599,440","6,221,288","7,945,952"
"2025/06/02","7,530.0","7,546.0","7,341.0","7,355.0","-259.0","6,779,100","800","119,700","149.63","-","7,699.60","7,507.68","7,782.57","6,800,200","6,379,068","7,958,592"
"2025/05/30","7,618.0","7,670.0","7,584.0","7,614.0","-304.0","9,166,200","7,900","110,100","13.94","-","7,754.80","7,485.60","7,813.61","6,399,160","6,373,952","7,951,600"
"2025/05/29","7,930.0","7,953.0","7,876.0","7,918.0","+108.0","6,965,300","2,600","104,400","40.15","-","7,724.80","7,447.40","7,842.30","5,356,740","6,205,984","7,926,542"
"2025/05/28","7,900.0","7,975.0","7,785.0","7,810.0","+9.0","5,956,100","75,900","107,600","1.42","-","7,633.60","7,396.72","7,865.68","4,926,700","6,148,948","7,957,410"
"2025/05/27","7,603.0","7,815.0","7,570.0","7,801.0","+170.0","5,134,300","0","100,000","0.00","-","7,580.80","7,356.72","7,888.54","4,670,520","6,086,036","7,991,722"
"2025/05/26","7,538.0","7,657.0","7,527.0","7,631.0","+167.0","4,773,900","3,200","98,100","30.66","-","7,540.40","7,317.20","7,910.60","4,789,400","6,095,684","8,094,885"
"2025/05/23","7,510.0","7,538.0","7,450.0","7,464.0","+2.0","3,954,100","0","97,200","0.00","-","7,530.00","7,281.48","7,934.33","4,861,980","6,154,580","8,145,473"
"2025/05/22","7,463.0","7,528.0","7,415.0","7,462.0","-84.0","4,815,100","0","96,900","0.00","-","7,583.00","7,259.44","7,958.80","5,095,760","6,202,308","8,202,392"
"2025/05/21","7,638.0","7,648.0","7,542.0","7,546.0","-53.0","4,675,200","0","95,100","0.00","-","7,653.00","7,235.52","7,984.62","5,354,920","6,312,916","8,316,633"
"2025/05/20","7,648.0","7,711.0","7,568.0","7,599.0","+20.0","5,728,700","14,000","104,600","7.47","-","7,723.00","7,202.12","8,006.36","6,789,760","6,597,000","8,496,829"
"2025/05/19","7,611.0","7,675.0","7,571.0","7,579.0","-150.0","5,136,800","0","108,000","0.00","-","7,723.20","7,168.96","8,034.12","7,122,400","6,992,308","8,651,530"
"2025/05/16","7,714.0","7,799.0","7,684.0","7,729.0","-83.0","5,123,000","0","96,800","0.00","-","7,708.80","7,108.60","8,073.86","7,099,700","7,407,412","8,727,286"
"2025/05/15","7,820.0","7,884.0","7,771.0","7,812.0","-84.0","6,110,900","0","88,900","0.00","-","7,646.80","7,061.12","8,114.21","7,616,620","7,673,176","8,923,949"
"2025/05/14","7,950.0","8,044.0","7,805.0","7,896.0","+296.0","11,849,400","0","95,200","0.00","-","7,532.00","6,982.04","8,146.45","7,738,260","8,236,284","9,172,398"
"2025/05/13","7,807.0","7,834.0","7,600.0","7,600.0","+93.0","7,391,900","0","132,700","0.00","-","7,435.80","6,932.44","8,164.48","6,608,180","8,488,924","9,074,814"
"2025/05/12","7,489.0","7,548.0","7,467.0","7,507.0","+88.0","5,023,300","0","128,200","0.00","-","7,396.80","6,915.32","8,186.76","6,521,860","8,639,572","9,031,108"
"2025/05/09","7,499.0","7,499.0","7,382.0","7,419.0","+181.0","7,707,600","500","131,400","262.80","-","7,358.40","6,913.64","8,207.73","7,006,100","8,808,040","9,027,717"
"2025/05/08","7,231.0","7,294.0","7,191.0","7,238.0","-177.0","6,719,100","10,000","182,200","18.22","-","7,307.40","6,916.60","8,231.50","6,600,460","8,787,504","9,024,658"
"2025/05/07","7,450.0","7,487.0","7,386.0","7,415.0","+10.0","6,199,000","0","174,000","0.00","-","7,293.80","6,926.24","8,255.01","6,213,700","8,972,184","9,006,689"
"2025/05/02","7,389.0","7,456.0","7,331.0","7,405.0","+90.0","6,960,300","0","178,300","0.00","-","7,255.40","6,946.44","8,276.24","6,438,540","8,985,532","9,024,521"
"2025/05/01","7,194.0","7,392.0","7,177.0","7,315.0","+151.0","7,444,500","0","179,500","0.00","-","7,178.40","6,971.12","8,300.85","6,661,480","9,046,440","9,019,577"
"2025/04/30","7,177.0","7,233.0","7,119.0","7,164.0","-6.0","5,679,400","0","185,800","0.00","-","7,076.00","7,012.48","8,327.70","6,502,820","9,016,676","8,993,728"
"2025/04/28","7,267.0","7,280.0","7,170.0","7,170.0","-53.0","4,785,300","0","186,200","0.00","-","6,975.00","7,055.24","8,357.13","6,360,340","9,071,416","9,000,004"
"2025/04/25","7,229.0","7,238.0","7,145.0","7,223.0","+203.0","7,323,200","0","204,100","0.00","-","6,871.20","7,096.40","8,386.13","6,511,160","9,198,304","9,090,473"
"2025/04/24","6,959.0","7,070.0","6,953.0","7,020.0","+217.0","8,075,000","0","201,400","0.00","-","6,788.60","7,125.88","8,412.94","5,923,180","9,196,616","9,109,621"
"2025/04/23","6,909.0","6,922.0","6,778.0","6,803.0","+144.0","6,651,200","0","227,600","0.00","-","6,747.20","7,157.36","8,441.81","5,383,280","9,122,924","9,078,541"
"2025/04/22","6,618.0","6,705.0","6,587.0","6,659.0","+8.0","4,967,000","10,000","227,700","22.77","-","6,734.20","7,203.80","8,474.49","5,302,300","9,107,428","9,099,229"
"2025/04/21","6,790.0","6,794.0","6,632.0","6,651.0","-159.0","5,539,400","0","231,100","0.00","-","6,785.00","7,256.60","8,507.16","5,338,360","9,143,968","9,115,993"
"2025/04/18","6,870.0","6,909.0","6,749.0","6,810.0","-3.0","4,383,300","10,000","393,600","39.36","-","6,827.60","7,304.00","8,537.42","5,746,540","9,334,252","9,108,346"
"2025/04/17","6,734.0","6,850.0","6,702.0","6,813.0","+75.0","5,375,500","0","402,200","0.00","-","6,807.80","7,341.84","8,564.08","7,225,340","9,487,976","9,118,282"
"2025/04/16","6,846.0","6,885.0","6,695.0","6,738.0","-175.0","6,246,300","0","406,800","0.00","-","6,799.20","7,380.56","8,592.38","9,272,520","9,527,980","9,135,085"
"2025/04/15","6,946.0","6,969.0","6,875.0","6,913.0","+49.0","5,147,300","5,000","400,000","80.00","-","6,665.60","7,424.84","8,619.34","11,126,140","9,681,428","9,204,816"
"2025/04/14","6,802.0","6,964.0","6,800.0","6,864.0","+153.0","7,580,300","0","401,700","0.00","-","6,591.40","7,471.00","8,647.50","12,450,100","9,700,228","9,274,968"
"2025/04/11","6,329.0","6,735.0","6,326.0","6,711.0","-59.0","11,777,300","0","404,800","0.00","-","6,385.60","7,514.56","8,681.77","14,971,760","9,712,560","9,301,685"
"2025/04/10","6,970.0","6,977.0","6,687.0","6,770.0","+700.0","15,611,400","8,200","372,400","45.41","-","6,374.60","7,573.56","8,723.45","16,249,380","9,511,924","9,367,597"
"2025/04/09","6,250.0","6,252.0","5,940.0","6,070.0","-472.0","15,514,400","0","389,700","0.00","-","6,455.00","7,622.64","8,758.80","15,358,720","9,247,908","9,231,153"
"2025/04/08","6,435.0","6,563.0","6,387.0","6,542.0","+707.0","11,767,100","14,000","381,800","27.27","-","6,734.00","7,697.12","8,802.25","14,102,840","9,128,892","9,149,796"
"2025/04/07","5,810.0","6,030.0","5,730.0","5,835.0","-821.0","20,188,600","1,900","365,300","192.26","-","6,924.20","7,768.64","8,839.61","13,188,260","9,011,112","9,112,585"
"2025/04/04","6,968.0","7,031.0","6,511.0","6,656.0","-516.0","18,165,400","100","167,200","1,672.00","-","7,253.00","7,866.16","8,884.04","11,417,760","8,735,108","8,911,356"
"2025/04/03","6,865.0","7,243.0","6,860.0","7,172.0","-293.0","11,158,100","200","163,600","818.00","-","7,505.80","7,952.24","8,918.88","9,091,220","8,276,048","8,750,925"
"2025/04/02","7,500.0","7,528.0","7,295.0","7,465.0","-28.0","9,235,000","0","172,400","0.00","-","7,675.80","8,014.88","8,946.32","8,556,200","8,218,012","8,702,725"
"2025/04/01","7,500.0","7,563.0","7,456.0","7,493.0","+14.0","7,194,200","4,600","217,100","47.20","-","7,852.60","8,075.92","8,967.45","8,049,280","8,234,092","8,656,660"
"2025/03/31","7,656.0","7,663.0","7,448.0","7,479.0","-441.0","11,336,100","0","214,800","0.00","-","8,000.60","8,151.80","8,988.82","8,020,020","8,171,156","8,668,692"
