"日付","始値","高値","安値","終値","前日比","出来高","貸株残高","融資残高","貸借倍率","逆日歩","5DMA","25DMA","75DMA","5DVMA","25DVMA","75DVMA"
"2025/06/09","900.0","907.1","896.1","897.6","+3.0","8,965,000","0","456,100","0.00","-","887.78","862.85","884.04","11,981,940","12,951,656","14,057,122"
"2025/06/06","890.0","900.7","887.5","894.6","+11.6","13,035,400","0","430,500","0.00","-","884.36","858.83","885.83","12,064,240","13,157,412","14,018,356"
"2025/06/05","887.0","896.4","883.0","883.0","-4.2","12,594,500","100,000","463,000","4.63","-","883.10","854.69","887.65","13,363,600","13,572,824","13,960,270"
"2025/06/04","881.0","891.6","880.1","887.2","+10.7","13,180,800","130,000","472,300","3.63","-","883.26","851.05","889.81","12,956,160","14,327,612","13,974,757"
"2025/06/03","880.4","883.0","874.1","876.5","-4.0","12,134,000","8,400","474,000","56.43","-","880.90","848.18","891.36","12,726,480","14,408,212","14,013,884"
"2025/06/02","884.0","884.5","874.7","880.5","-7.8","9,376,500","0","468,500","0.00","-","880.42","845.58","893.56","11,801,160","14,605,800","13,963,125"
"2025/05/30","872.3","892.1","871.6","888.3","+4.5","19,532,200","0","467,500","0.00","-","877.36","842.20","895.64","11,393,260","14,843,076","14,019,933"
"2025/05/29","876.3","885.1","876.1","883.8","+8.4","10,557,300","0","456,200","0.00","-","871.50","837.82","897.63","9,746,320","14,556,932","14,129,176"
"2025/05/28","886.2","886.8","875.4","875.4","+1.3","12,032,400","88,600","442,200","4.99","-","867.48","833.48","899.18","9,981,300","14,538,464","14,137,996"
"2025/05/27","866.6","877.0","863.2","874.1","+8.9","7,507,400","34,900","418,900","12.00","-","865.40","830.10","900.82","9,778,500","14,309,268","14,126,118"
"2025/05/26","860.1","866.6","857.0","865.2","+6.2","7,337,000","0","442,500","0.00","-","862.94","826.42","902.36","10,902,380","14,332,136","14,261,825"
"2025/05/23","869.6","871.0","859.0","859.0","-4.7","11,297,500","0","458,400","0.00","-","861.62","822.66","904.41","12,082,720","14,479,104","14,414,488"
"2025/05/22","858.0","867.5","855.3","863.7","-1.3","11,732,200","100","458,500","4,585.00","-","865.04","819.26","906.25","12,674,080","14,489,216","14,373,782"
"2025/05/21","870.9","872.5","863.8","865.0","+3.2","11,018,400","11,000","439,100","39.92","-","864.70","815.48","908.02","13,023,600","14,509,116","14,366,652"
"2025/05/20","877.5","877.5","861.8","861.8","+3.2","13,126,800","54,400","440,100","8.09","-","869.22","811.40","909.51","13,792,540","14,833,872","14,370,345"
"2025/05/19","857.7","864.0","848.7","858.6","-17.5","13,238,700","16,500","441,800","26.78","-","871.66","808.42","911.17","15,570,240","15,192,316","14,328,806"
"2025/05/16","862.0","876.1","860.2","876.1","+14.1","14,254,300","79,000","435,600","5.51","-","868.18","802.92","912.71","15,312,960","15,647,216","14,303,196"
"2025/05/15","876.5","879.0","861.6","862.0","-25.6","13,479,800","67,000","449,200","6.70","-","857.76","798.24","913.86","15,746,560","16,087,108","14,255,088"
"2025/05/14","878.0","888.8","872.2","887.6","+13.6","14,863,100","0","423,600","0.00","-","846.12","791.98","915.25","15,680,940","16,738,636","14,262,612"
"2025/05/13","883.4","888.8","871.0","874.0","+32.8","22,015,300","356,300","429,300","1.20","-","828.26","788.98","916.10","16,181,120","17,308,552","14,196,520"
"2025/05/12","831.4","842.9","827.0","841.2","+17.2","11,952,300","200,100","490,900","2.45","-","811.46","788.02","917.11","14,502,560","17,899,520","14,040,242"
"2025/05/09","818.8","827.5","812.9","824.0","+20.2","16,422,300","71,200","476,500","6.69","-","802.64","791.16","918.32","14,933,880","17,826,552","14,012,745"
"2025/05/08","803.0","810.3","794.3","803.8","+5.5","13,151,700","9,400","504,800","53.70","-","796.08","794.76","919.56","16,333,560","17,728,116","13,964,954"
"2025/05/07","781.0","801.9","780.0","798.3","+8.3","17,364,000","0","527,300","0.00","-","793.70","798.94","920.68","19,996,060","17,909,744","13,883,800"
"2025/05/02","799.0","803.8","787.9","790.0","-7.1","13,622,500","0","561,900","0.00","-","797.12","805.46","921.93","19,562,420","17,777,064","13,792,212"
"2025/05/01","796.9","800.1","787.3","797.1","+5.9","14,108,900","0","525,100","0.00","-","801.44","814.20","923.39","20,252,660","17,817,436","13,734,289"
"2025/04/30","789.0","796.7","784.1","791.2","-0.7","23,420,700","0","496,800","0.00","-","801.24","822.28","924.89","20,492,560","17,620,704","13,664,730"
"2025/04/28","815.4","822.1","790.2","791.9","-23.5","31,464,200","6,200","537,800","86.74","-","798.74","830.27","926.51","18,284,140","17,139,424","13,507,601"
"2025/04/25","826.0","828.8","814.0","815.4","+3.8","15,195,800","16,000","430,300","26.89","-","795.40","838.15","928.33","14,010,420","16,454,464","13,230,561"
