"日付","始値","高値","安値","終値","前日比","出来高","貸株残高","融資残高","貸借倍率","逆日歩","5DMA","25DMA","75DMA","5DVMA","25DVMA","75DVMA"
"2025/06/03","1,385.5","1,385.5","1,365.0","1,379.0","-6.5","5,750,500","7,600","88,800","11.68","-","1,382.40","1,405.60","1,362.35","7,789,620","9,161,020","9,318,869"
"2025/06/02","1,389.5","1,402.5","1,367.5","1,385.5","-4.5","6,968,500","7,700","89,500","11.62","-","1,384.80","1,406.92","1,361.71","7,713,880","9,329,396","9,381,774"
"2025/05/30","1,368.0","1,390.0","1,360.0","1,390.0","+11.5","11,841,900","8,600","88,900","10.34","-","1,382.10","1,409.82","1,361.37","7,353,300","9,385,448","9,456,341"
"2025/05/29","1,380.0","1,382.0","1,365.5","1,378.5","-0.5","6,104,800","8,100","89,300","11.02","-","1,377.00","1,411.76","1,361.45","6,216,060","9,215,520","9,407,624"
"2025/05/28","1,402.0","1,402.0","1,378.5","1,379.0","-12.0","8,282,400","9,800","93,900","9.58","-","1,373.00","1,413.54","1,361.54","6,503,460","9,157,760","9,420,066"
"2025/05/27","1,376.0","1,394.5","1,372.0","1,391.0","+19.0","5,371,800","10,500","70,900","6.75","-","1,370.50","1,414.92","1,361.82","6,801,880","8,959,572","9,420,458"
"2025/05/26","1,381.0","1,383.5","1,360.5","1,372.0","+7.5","5,165,600","9,100","76,500","8.41","-","1,366.40","1,416.10","1,361.91","7,705,640","9,069,240","9,471,002"
"2025/05/23","1,362.0","1,378.5","1,356.0","1,364.5","+6.0","6,155,700","10,400","68,600","6.60","-","1,370.30","1,416.72","1,362.41","8,146,600","9,146,792","9,519,440"
"2025/05/22","1,351.5","1,361.0","1,345.0","1,358.5","-8.0","7,541,800","9,200","87,900","9.55","-","1,373.90","1,417.12","1,363.16","8,602,220","9,197,280","9,554,524"
"2025/05/21","1,370.0","1,376.0","1,358.0","1,366.5","-4.0","9,774,500","271,100","71,500","0.26","-","1,381.90","1,418.14","1,364.24","9,688,120","9,211,220","9,573,622"
"2025/05/20","1,390.5","1,391.5","1,366.0","1,370.5","-21.0","9,890,600","309,500","38,300","0.12","-","1,386.20","1,418.96","1,364.95","10,378,060","9,263,124","9,686,592"
"2025/05/19","1,376.0","1,398.0","1,369.5","1,391.5","+9.0","7,370,400","900","50,100","55.67","-","1,394.90","1,420.32","1,365.18","11,081,640","9,466,916","9,716,504"
"2025/05/16","1,407.0","1,408.0","1,364.0","1,382.5","-16.0","8,433,800","900","54,900","61.00","-","1,407.60","1,416.86","1,364.30","11,060,800","9,642,852","9,874,312"
"2025/05/15","1,377.0","1,402.5","1,354.0","1,398.5","+10.5","12,971,300","900","51,500","57.22","-","1,422.40","1,414.96","1,363.38","12,038,080","9,964,536","9,899,517"
"2025/05/14","1,384.0","1,388.0","1,353.0","1,388.0","-26.0","13,224,200","0","54,300","0.00","-","1,438.70","1,410.16","1,361.94","11,040,500","10,337,012","9,810,553"
"2025/05/13","1,450.0","1,456.5","1,405.0","1,414.0","-41.0","13,408,500","26,400","38,100","1.44","-","1,458.00","1,409.50","1,360.54","11,226,420","10,780,072","9,709,498"
"2025/05/12","1,480.0","1,483.0","1,442.5","1,455.0","-1.5","7,266,200","32,300","29,400","0.91","-","1,466.40","1,406.36","1,358.92","10,131,040","10,621,704","9,641,626"
"2025/05/09","1,480.0","1,488.0","1,419.5","1,456.5","-23.5","13,320,200","46,400","36,700","0.79","-","1,466.50","1,401.66","1,356.48","10,623,000","10,575,404","9,656,070"
"2025/05/08","1,509.0","1,510.0","1,472.0","1,480.0","-4.5","7,983,400","48,300","20,500","0.42","-","1,457.00","1,397.36","1,353.81","11,024,060","10,327,372","9,562,066"
"2025/05/07","1,486.0","1,494.5","1,470.0","1,484.5","+28.5","14,153,800","53,900","19,600","0.36","-","1,445.50","1,391.38","1,350.73","10,416,740","10,407,148","9,546,617"
"2025/05/02","1,455.5","1,474.0","1,444.5","1,456.0","+0.5","7,931,600","51,500","36,800","0.71","-","1,430.90","1,386.96","1,347.35","9,609,120","10,204,012","9,438,008"
"2025/05/01","1,418.5","1,461.0","1,404.0","1,455.5","+46.5","9,726,000","71,500","19,600","0.27","-","1,422.10","1,385.50","1,344.47","10,014,780","10,409,692","9,414,022"
"2025/04/30","1,427.5","1,427.5","1,382.5","1,409.0","-13.5","15,325,500","6,000","35,300","5.88","-","1,422.60","1,383.90","1,341.59","9,743,540","10,473,560","9,358,313"
"2025/04/28","1,417.5","1,430.0","1,411.5","1,422.5","+11.0","4,946,800","12,400","35,200","2.84","-","1,428.50","1,383.98","1,339.33","8,197,180","10,358,908","9,242,554"
"2025/04/25","1,421.5","1,434.0","1,405.0","1,411.5","-0.5","10,115,700","7,700","38,200","4.96","-","1,428.60","1,382.80","1,337.28","8,139,980","10,806,960","9,253,305"
"2025/04/24","1,450.0","1,451.0","1,405.5","1,412.0","-46.0","9,959,900","16,000","38,500","2.41","-","1,429.00","1,380.20","1,335.28","6,782,380","10,827,596","9,220,802"
"2025/04/23","1,468.5","1,470.0","1,440.0","1,458.0","+19.5","8,369,800","44,500","20,600","0.46","-","1,430.70","1,377.40","1,333.38","6,413,100","10,789,956","9,199,905"
"2025/04/22","1,430.0","1,446.5","1,420.0","1,438.5","+15.5","7,593,700","13,000","20,400","1.57","-","1,416.60","1,372.64","1,330.86","6,160,020","10,902,096","9,186,604"
"2025/04/21","1,415.0","1,425.0","1,399.5","1,423.0","+9.5","4,660,800","6,900","39,400","5.71","-","1,403.80","1,366.90","1,328.42","6,124,860","10,923,524","9,150,514"
"2025/04/18","1,426.0","1,426.0","1,406.0","1,413.5","-7.0","3,327,700","4,700","19,600","4.17","-","1,396.00","1,360.16","1,326.12","6,770,760","11,096,520","9,140,537"
"2025/04/17","1,384.0","1,425.0","1,377.0","1,420.5","+33.0","8,113,500","38,000","19,000","0.50","-","1,390.70","1,353.68","1,323.87","8,319,640","11,330,996","9,144,749"
"2025/04/16","1,389.5","1,395.0","1,371.5","1,387.5","+13.0","7,104,400","3,200","20,300","6.34","-","1,387.50","1,346.84","1,321.58","9,694,020","11,419,896","9,110,934"
"2025/04/15","1,405.5","1,407.0","1,370.0","1,374.5","-9.5","7,417,900","900","31,400","34.89","-","1,371.00","1,341.94","1,319.58","10,626,900","11,492,948","9,288,489"
"2025/04/14","1,394.0","1,402.5","1,380.5","1,384.0","-3.0","7,890,300","1,400","29,600","21.14","-","1,363.10","1,338.82","1,317.33","12,438,500","11,455,760","9,292,629"
"2025/04/11","1,328.0","1,396.0","1,328.0","1,387.0","-17.5","11,072,100","900","114,700","127.44","-","1,342.00","1,335.24","1,315.40","15,317,080","11,446,740","9,266,372"
"2025/04/10","1,375.0","1,417.0","1,349.0","1,404.5","+99.5","14,985,400","79,500","111,000","1.40","-","1,338.90","1,332.96","1,313.39","17,962,800","11,212,612","9,226,101"
"2025/04/09","1,290.0","1,322.5","1,285.5","1,305.0","-30.0","11,768,800","11,600","108,900","9.39","-","1,325.10","1,330.22","1,311.24","16,855,580","10,881,028","9,114,504"
"2025/04/08","1,289.5","1,353.0","1,280.5","1,335.0","+56.5","16,475,900","0","106,200","0.00","-","1,331.60","1,331.02","1,310.39","15,723,560","10,651,440","9,129,924"
"2025/04/07","1,311.5","1,329.0","1,270.5","1,278.5","-93.0","22,283,200","200","100,100","500.50","-","1,334.40","1,330.70","1,309.00","13,852,260","10,387,716","9,040,530"
"2025/04/04","1,334.5","1,418.0","1,331.5","1,371.5","+36.0","24,300,700","4,400","37,300","8.48","-","1,344.80","1,331.56","1,308.24","11,391,180","9,919,112","8,861,645"
"2025/04/03","1,277.5","1,335.5","1,277.0","1,335.5","-2.0","9,449,300","23,400","36,600","1.56","-","1,345.30","1,328.76","1,306.22","8,346,120","9,143,548","8,661,568"
"2025/04/02","1,351.0","1,352.5","1,327.0","1,337.5","-11.5","6,108,700","24,200","48,400","2.00","-","1,362.10","1,327.80","1,304.88","9,070,980","9,127,176","8,621,716"
"2025/04/01","1,360.5","1,375.0","1,348.0","1,349.0","+18.5","7,119,400","16,600","64,000","3.86","-","1,377.70","1,325.12","1,303.55","10,113,780","9,184,824","8,662,018"
"2025/03/31","1,328.0","1,348.5","1,310.0","1,330.5","-43.5","9,977,800","47,800","64,400","1.35","-","1,390.10","1,321.50","1,302.32","11,181,740","9,328,568","8,725,109"
"2025/03/28","1,385.0","1,392.5","1,365.5","1,374.0","-45.5","9,075,400","97,200","64,300","0.66","-","1,402.60","1,318.98","1,301.39","12,415,800","9,291,004","8,730,278"
"2025/03/27","1,423.0","1,436.5","1,408.5","1,419.5","+4.0","13,073,600","184,600","48,700","0.26","-","1,397.10","1,315.82","1,300.11","12,727,040","9,222,448","8,725,286"
"2025/03/26","1,407.5","1,423.0","1,387.5","1,415.5","+4.5","11,322,700","166,400","38,600","0.23","-","1,381.60","1,311.92","1,298.06","11,916,100","8,927,784","8,636,132"
"2025/03/25","1,393.0","1,418.0","1,389.5","1,411.0","+18.0","12,459,200","163,000","99,600","0.61","-","1,366.30","1,307.96","1,295.91","11,886,220","8,715,976","8,556,222"
"2025/03/24","1,350.0","1,407.0","1,344.0","1,393.0","+46.5","16,148,100","176,600","149,500","0.85","-","1,343.10","1,304.28","1,293.85","11,020,260","8,476,896","8,452,704"
"2025/03/21","1,331.5","1,361.0","1,328.0","1,346.5","+4.5","10,631,600","55,500","59,800","1.08","-","1,315.40","1,302.02","1,291.94","9,587,780","8,097,168","8,316,430"
"2025/03/19","1,336.0","1,364.0","1,333.5","1,342.0","+3.0","9,018,900","55,300","60,600","1.10","-","1,296.40","1,301.26","1,290.78","9,299,380","7,967,992","8,263,588"
"2025/03/18","1,310.5","1,351.0","1,310.0","1,339.0","+44.0","11,173,300","19,600","60,900","3.11","-","1,277.90","1,300.82","1,289.68","9,562,800","8,025,972","8,316,560"
"2025/03/17","1,270.0","1,309.0","1,267.0","1,295.0","+40.5","8,129,400","28,100","74,700","2.66","-","1,263.10","1,301.66","1,288.59","9,114,280","8,081,480","8,296,008"
"2025/03/14","1,238.5","1,254.5","1,238.5","1,254.5","+3.0","8,985,700","1,200","93,200","77.67","-","1,263.40","1,305.70","1,287.93","8,786,040","8,083,828","8,323,474"
"2025/03/13","1,255.0","1,266.0","1,246.0","1,251.5","+2.0","9,189,600","1,200","78,400","65.33","-","1,271.40","1,310.92","1,287.98","8,521,860","8,005,920","8,303,149"
"2025/03/12","1,247.0","1,263.0","1,242.0","1,249.5","-15.5","10,336,000","11,200","82,000","7.32","-","1,287.10","1,316.86","1,288.26","7,727,720","7,970,808","8,288,188"
"2025/03/11","1,280.0","1,282.5","1,243.5","1,265.0","-31.5","8,930,700","2,500","77,000","30.80","-","1,304.40","1,322.80","1,288.52","6,999,680","7,923,872","8,233,346"
"2025/03/10","1,296.0","1,300.0","1,284.0","1,296.5","+2.0","6,488,200","4,800","101,700","21.19","-","1,316.40","1,328.58","1,288.90","6,419,360","7,918,580","8,209,920"
"2025/03/07","1,280.0","1,297.5","1,277.5","1,294.5","-35.5","7,664,800","2,700","96,900","35.89","-","1,322.50","1,333.54","1,288.90","7,098,280","8,010,532","8,206,822"
"2025/03/06","1,330.0","1,339.0","1,321.5","1,330.0","-6.0","5,218,900","14,400","96,500","6.70","-","1,323.60","1,339.36","1,288.88","7,678,940","8,062,908","8,219,970"
"2025/03/05","1,322.5","1,341.5","1,311.0","1,336.0","+11.0","6,695,800","7,800","96,000","12.31","-","1,317.90","1,342.94","1,288.46","7,617,480","8,584,040","8,269,626"
"2025/03/04","1,325.0","1,341.0","1,312.0","1,325.0","-2.0","6,029,100","15,100","96,000","6.36","-","1,313.00","1,345.00","1,288.21","8,086,320","8,801,568","8,316,352"
