DisclosedDate,DisclosedTime,LocalCode,DisclosureNumber,TypeOfDocument,TypeOfCurrentPeriod,CurrentPeriodStartDate,CurrentPeriodEndDate,CurrentFiscalYearStartDate,CurrentFiscalYearEndDate,NextFiscalYearStartDate,NextFiscalYearEndDate,NetSales,OperatingProfit,OrdinaryProfit,Profit,EarningsPerShare,DilutedEarningsPerShare,TotalAssets,Equity,EquityToAssetRatio,BookValuePerShare,CashFlowsFromOperatingActivities,CashFlowsFromInvestingActivities,CashFlowsFromFinancingActivities,CashAndEquivalents,ResultDividendPerShare1stQuarter,ResultDividendPerShare2ndQuarter,ResultDividendPerShare3rdQuarter,ResultDividendPerShareFiscalYearEnd,ResultDividendPerShareAnnual,DistributionsPerUnit(REIT),ResultTotalDividendPaidAnnual,ResultPayoutRatioAnnual,ForecastDividendPerShare1stQuarter,ForecastDividendPerShare2ndQuarter,ForecastDividendPerShare3rdQuarter,ForecastDividendPerShareFiscalYearEnd,ForecastDividendPerShareAnnual,ForecastDistributionsPerUnit(REIT),ForecastTotalDividendPaidAnnual,ForecastPayoutRatioAnnual,NextYearForecastDividendPerShare1stQuarter,NextYearForecastDividendPerShare2ndQuarter,NextYearForecastDividendPerShare3rdQuarter,NextYearForecastDividendPerShareFiscalYearEnd,NextYearForecastDividendPerShareAnnual,NextYearForecastDistributionsPerUnit(REIT),NextYearForecastPayoutRatioAnnual,ForecastNetSales2ndQuarter,ForecastOperatingProfit2ndQuarter,ForecastOrdinaryProfit2ndQuarter,ForecastProfit2ndQuarter,ForecastEarningsPerShare2ndQuarter,NextYearForecastNetSales2ndQuarter,NextYearForecastOperatingProfit2ndQuarter,NextYearForecastOrdinaryProfit2ndQuarter,NextYearForecastProfit2ndQuarter,NextYearForecastEarningsPerShare2ndQuarter,ForecastNetSales,ForecastOperatingProfit,ForecastOrdinaryProfit,ForecastProfit,ForecastEarningsPerShare,NextYearForecastNetSales,NextYearForecastOperatingProfit,NextYearForecastOrdinaryProfit,NextYearForecastProfit,NextYearForecastEarningsPerShare,MaterialChangesInSubsidiaries,SignificantChangesInTheScopeOfConsolidation,ChangesBasedOnRevisionsOfAccountingStandard,ChangesOtherThanOnesBasedOnRevisionsOfAccountingStandard,ChangesInAccountingEstimates,RetrospectiveRestatement,NumberOfIssuedAndOutstandingSharesAtTheEndOfFiscalYearIncludingTreasuryStock,NumberOfTreasuryStockAtTheEndOfFiscalYear,AverageNumberOfShares,NonConsolidatedNetSales,NonConsolidatedOperatingProfit,NonConsolidatedOrdinaryProfit,NonConsolidatedProfit,NonConsolidatedEarningsPerShare,NonConsolidatedTotalAssets,NonConsolidatedEquity,NonConsolidatedEquityToAssetRatio,NonConsolidatedBookValuePerShare,ForecastNonConsolidatedNetSales2ndQuarter,ForecastNonConsolidatedOperatingProfit2ndQuarter,ForecastNonConsolidatedOrdinaryProfit2ndQuarter,ForecastNonConsolidatedProfit2ndQuarter,ForecastNonConsolidatedEarningsPerShare2ndQuarter,NextYearForecastNonConsolidatedNetSales2ndQuarter,NextYearForecastNonConsolidatedOperatingProfit2ndQuarter,NextYearForecastNonConsolidatedOrdinaryProfit2ndQuarter,NextYearForecastNonConsolidatedProfit2ndQuarter,NextYearForecastNonConsolidatedEarningsPerShare2ndQuarter,ForecastNonConsolidatedNetSales,ForecastNonConsolidatedOperatingProfit,ForecastNonConsolidatedOrdinaryProfit,ForecastNonConsolidatedProfit,ForecastNonConsolidatedEarningsPerShare,NextYearForecastNonConsolidatedNetSales,NextYearForecastNonConsolidatedOperatingProfit,NextYearForecastNonConsolidatedOrdinaryProfit,NextYearForecastNonConsolidatedProfit,NextYearForecastNonConsolidatedEarningsPerShare
2020-07-30,15:00:00,67230,20200729469064,2QFinancialStatements_Consolidated_IFRS,2Q,2020-01-01,2020-06-30,2020-01-01,2020-12-31,,,345415000000,30569000000,,23212000000,13.55,13.32,1634504000000,629374000000,0.383,,76619000000,-19773000000,-52544000000,148505000000,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,false,true,false,,1719396690,2581,1713078576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-29,15:00:00,67230,20201029411016,3QFinancialStatements_Consolidated_IFRS,3Q,2020-01-01,2020-09-30,2020-01-01,2020-12-31,,,524093000000,47818000000,,38471000000,22.42,21.98,1620426000000,632171000000,0.388,,141531000000,-30072000000,-78495000000,175886000000,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,false,true,false,,1723201290,2581,1716107309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,15:00:00,67230,20210210460793,FYFinancialStatements_Consolidated_IFRS,FY,2020-01-01,2020-12-31,2020-01-01,2020-12-31,2021-01-01,2021-12-31,715673000000,65142000000,,45626000000,26.54,25.97,1608985000000,619661000000,0.383,356.1,223889000000,-40163000000,-104470000000,219786000000,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,false,true,false,,1731898990,2581,1719344659,563908000000,49447000000,52843000000,47458000000,27.6,1628721000000,566100000000,0.338,317.65,,,,,,,,,,,,,,,,,,,,
2021-04-28,15:00:00,67230,20210428402508,1QFinancialStatements_Consolidated_IFRS,1Q,2021-01-01,2021-03-31,2021-01-01,2021-12-31,,,203678000000,30191000000,,13714000000,7.92,7.75,1688082000000,721134000000,0.425,,,,,243627000000,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,false,false,,1732968290,2581,1732607242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-29,15:00:00,67230,20210729473503,2QFinancialStatements_Consolidated_IFRS,2Q,2021-01-01,2021-06-30,2021-01-01,2021-12-31,,,421553000000,65661000000,,37705000000,21.53,21.07,1942678000000,975804000000,0.501,,120633000000,-16904000000,171926000000,504771000000,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,false,false,,1932222590,2581,1751223268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-28,15:00:00,67230,20211028419104,3QFinancialStatements_Consolidated_IFRS,3Q,2021-01-01,2021-09-30,2021-01-01,2021-12-31,,,679986000000,119485000000,,75457000000,41.61,40.72,2327974000000,1047144000000,0.448,,196220000000,-619498000000,414628000000,222989000000,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,false,false,,1937295290,2581,1813309523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-09,15:00:00,67230,20220207581724,FYFinancialStatements_Consolidated_IFRS,FY,2021-01-01,2021-12-31,2021-01-01,2021-12-31,2022-01-01,2022-12-31,994418000000,183601000000,,127261000000,68.96,67.44,2406247000000,1161460000000,0.481,595.8,307384000000,-663126000000,340915000000,221924000000,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,false,false,false,,1943805775,2581,1845523704,771277000000,165006000000,129862000000,113928000000,61.73,2385940000000,913301000000,0.377,463.03,,,,,,,,,,,,,,,,,,,,
2022-04-27,15:00:00,67230,20220426528486,1QFinancialStatements_Consolidated_IFRS,1Q,2022-01-01,2022-03-31,2022-01-01,2022-12-31,,,346696000000,100077000000,,59784000000,30.74,30.15,2598417000000,1349247000000,0.518,,,,,267207000000,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,false,false,,1945692637,2581,1944641915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-28,15:00:00,67230,20220727505990,2QFinancialStatements_Consolidated_IFRS,2Q,2022-01-01,2022-06-30,2022-01-01,2022-12-31,,,722908000000,210005000000,,110437000000,56.96,55.82,2858842000000,1467728000000,0.512,,228303000000,-49813000000,-181242000000,247854000000,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,false,false,,1952747173,168069831,1938971343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-10,15:00:00,67230,20220810517826,2QFinancialStatements_Consolidated_IFRS,2Q,2022-01-01,2022-06-30,2022-01-01,2022-12-31,,,722908000000,210005000000,,110437000000,56.96,55.82,2858842000000,1467728000000,0.509,,228303000000,-49813000000,-181242000000,247854000000,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,false,false,,1952747173,168069831,1938971343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
