DisclosedDate,DisclosedTime,LocalCode,DisclosureNumber,TypeOfDocument,TypeOfCurrentPeriod,CurrentPeriodStartDate,CurrentPeriodEndDate,CurrentFiscalYearStartDate,CurrentFiscalYearEndDate,NextFiscalYearStartDate,NextFiscalYearEndDate,NetSales,OperatingProfit,OrdinaryProfit,Profit,EarningsPerShare,DilutedEarningsPerShare,TotalAssets,Equity,EquityToAssetRatio,BookValuePerShare,CashFlowsFromOperatingActivities,CashFlowsFromInvestingActivities,CashFlowsFromFinancingActivities,CashAndEquivalents,ResultDividendPerShare1stQuarter,ResultDividendPerShare2ndQuarter,ResultDividendPerShare3rdQuarter,ResultDividendPerShareFiscalYearEnd,ResultDividendPerShareAnnual,DistributionsPerUnit(REIT),ResultTotalDividendPaidAnnual,ResultPayoutRatioAnnual,ForecastDividendPerShare1stQuarter,ForecastDividendPerShare2ndQuarter,ForecastDividendPerShare3rdQuarter,ForecastDividendPerShareFiscalYearEnd,ForecastDividendPerShareAnnual,ForecastDistributionsPerUnit(REIT),ForecastTotalDividendPaidAnnual,ForecastPayoutRatioAnnual,NextYearForecastDividendPerShare1stQuarter,NextYearForecastDividendPerShare2ndQuarter,NextYearForecastDividendPerShare3rdQuarter,NextYearForecastDividendPerShareFiscalYearEnd,NextYearForecastDividendPerShareAnnual,NextYearForecastDistributionsPerUnit(REIT),NextYearForecastPayoutRatioAnnual,ForecastNetSales2ndQuarter,ForecastOperatingProfit2ndQuarter,ForecastOrdinaryProfit2ndQuarter,ForecastProfit2ndQuarter,ForecastEarningsPerShare2ndQuarter,NextYearForecastNetSales2ndQuarter,NextYearForecastOperatingProfit2ndQuarter,NextYearForecastOrdinaryProfit2ndQuarter,NextYearForecastProfit2ndQuarter,NextYearForecastEarningsPerShare2ndQuarter,ForecastNetSales,ForecastOperatingProfit,ForecastOrdinaryProfit,ForecastProfit,ForecastEarningsPerShare,NextYearForecastNetSales,NextYearForecastOperatingProfit,NextYearForecastOrdinaryProfit,NextYearForecastProfit,NextYearForecastEarningsPerShare,MaterialChangesInSubsidiaries,SignificantChangesInTheScopeOfConsolidation,ChangesBasedOnRevisionsOfAccountingStandard,ChangesOtherThanOnesBasedOnRevisionsOfAccountingStandard,ChangesInAccountingEstimates,RetrospectiveRestatement,NumberOfIssuedAndOutstandingSharesAtTheEndOfFiscalYearIncludingTreasuryStock,NumberOfTreasuryStockAtTheEndOfFiscalYear,AverageNumberOfShares,NonConsolidatedNetSales,NonConsolidatedOperatingProfit,NonConsolidatedOrdinaryProfit,NonConsolidatedProfit,NonConsolidatedEarningsPerShare,NonConsolidatedTotalAssets,NonConsolidatedEquity,NonConsolidatedEquityToAssetRatio,NonConsolidatedBookValuePerShare,ForecastNonConsolidatedNetSales2ndQuarter,ForecastNonConsolidatedOperatingProfit2ndQuarter,ForecastNonConsolidatedOrdinaryProfit2ndQuarter,ForecastNonConsolidatedProfit2ndQuarter,ForecastNonConsolidatedEarningsPerShare2ndQuarter,NextYearForecastNonConsolidatedNetSales2ndQuarter,NextYearForecastNonConsolidatedOperatingProfit2ndQuarter,NextYearForecastNonConsolidatedOrdinaryProfit2ndQuarter,NextYearForecastNonConsolidatedProfit2ndQuarter,NextYearForecastNonConsolidatedEarningsPerShare2ndQuarter,ForecastNonConsolidatedNetSales,ForecastNonConsolidatedOperatingProfit,ForecastNonConsolidatedOrdinaryProfit,ForecastNonConsolidatedProfit,ForecastNonConsolidatedEarningsPerShare,NextYearForecastNonConsolidatedNetSales,NextYearForecastNonConsolidatedOperatingProfit,NextYearForecastNonConsolidatedOrdinaryProfit,NextYearForecastNonConsolidatedProfit,NextYearForecastNonConsolidatedEarningsPerShare
2020-08-12,16:00:00,87500,20200730470747,1QFinancialStatements_Consolidated_JP,1Q,2020-04-01,2020-06-30,2020-04-01,2021-03-31,,,1791356000000,,76784000000,40838000000,36.17,36.14,60781219000000,4021519000000,0.066,,,,,,,,,,,,,,,0.0,,62.0,62.0,,,,,,,,,,,,,,,,,,,,,6487000000000,,358000000000,184000000000,162.95,,,,,,false,,true,false,false,false,1198443000,69231925,1129137308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-13,13:00:00,87500,20201106417926,2QFinancialStatements_Consolidated_JP,2Q,2020-04-01,2020-09-30,2020-04-01,2021-03-31,,,3363159000000,,162838000000,83329000000,74.12,74.07,62804851000000,4348536000000,0.069,,,,,,,0.0,,,,,,,,,,62.0,62.0,,,,,,,,,,,,,,,,,,,,,6487000000000,,358000000000,184000000000,165.74,,,,,,false,,true,false,,,1198755800,88600325,1124232308,164460000000,158040000000,156652000000,156082000000,138.83,1755563000000,1306548000000,0.744,,,,,,,,,,,,,,,,,,,,,
2021-02-12,15:30:00,87500,20210125448506,3QFinancialStatements_Consolidated_JP,3Q,2020-04-01,2020-12-31,2020-04-01,2021-03-31,,,5085037000000,,301202000000,165210000000,147.57,147.48,63553904000000,4703226000000,0.074,,,,,,,0.0,,,,,,,,,,62.0,62.0,,,,,,,,,,,,,,,,,,,,,6487000000000,,415000000000,262000000000,236.0,,,,,,false,,true,false,false,false,1198755800,88572425,1119547130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-30,16:00:00,87500,20210428403472,EarnForecastRevision,FY,2020-04-01,2021-03-31,2020-04-01,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7827000000000,,552000000000,363000000000,324.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-14,15:00:00,87500,20210502405111,FYFinancialStatements_Consolidated_JP,FY,2020-04-01,2021-03-31,2020-04-01,2021-03-31,2021-04-01,2022-03-31,7827806000000,,552861000000,363777000000,325.61,325.41,63593705000000,4807129000000,0.076,4329.08,-79904000000,551362000000,65587000000,2262910000000,,0.0,,62.0,62.0,,68833000000,0.19,,,,,,,,,,0.0,,77.0,77.0,,0.306,,,,,,,,,,,,,,,,6643000000000,,479000000000,279000000000,251.3,false,,true,false,false,false,1198755800,88541025,1117211333,190425000000,179179000000,175928000000,216523000000,193.8,1896259000000,1367153000000,0.72,1230.6,,,,,,,,,,,,,,,,,,,,
2021-08-11,14:30:00,87500,20210804478791,1QFinancialStatements_Consolidated_JP,1Q,2021-04-01,2021-06-30,2021-04-01,2022-03-31,,,1945535000000,,206218000000,138410000000,125.41,125.34,65033630000000,4859929000000,0.075,,,,,,,,,,,,,,,0.0,,77.0,77.0,,,,,,,,,,,,,,,,,,,,,6643000000000,,479000000000,279000000000,254.44,,,,,,false,,true,false,false,false,1116755800,20226325,1103703075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-12,14:30:00,87500,20211014410905,2QFinancialStatements_Consolidated_JP,2Q,2021-04-01,2021-09-30,2021-04-01,2022-03-31,,,3765781000000,,286247000000,178474000000,163.45,163.36,65788808000000,4986796000000,0.076,,,,,,,0.0,,,,,,,,,,80.0,80.0,,,,,,,,,,,,,,,,,,,,,7232000000000,,520000000000,349000000000,326.25,,,,,,false,,true,false,,,1116939700,47198125,1091942891,171279000000,164245000000,161986000000,144338000000,132.19,1882899000000,1353674000000,0.719,,,,,,,,,,,,,,,,,,,,,
2022-02-14,14:30:00,87500,20220207582387,3QFinancialStatements_Consolidated_JP,3Q,2021-04-01,2021-12-31,2021-04-01,2022-03-31,,,5673748000000,,467475000000,292907000000,271.12,270.98,65805132000000,4995192000000,0.076,,,,,,,0.0,,,,,,,,,,80.0,80.0,,,,,,,,,,,,,,,,,,,,,7232000000000,,520000000000,349000000000,333.25,,,,,,false,,true,false,false,false,1116939700,69682931,1080363806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-16,13:00:00,87500,20220215591012,3QFinancialStatements_Consolidated_JP,3Q,2021-04-01,2021-12-31,2021-04-01,2022-03-31,,,5673748000000,,467475000000,292907000000,271.12,270.98,65805132000000,4995192000000,0.076,,,,,,,0.0,,,,,,,,,,80.0,80.0,,,,,,,,,,,,,,,,,,,,,7232000000000,,520000000000,349000000000,333.25,,,,,,false,,true,false,false,false,1116939700,69682931,1080363806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-28,16:00:00,87500,20220420524274,EarnForecastRevision,FY,2021-04-01,2022-03-31,2021-04-01,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,83.0,,,,,,,,,,,,,,,,,,,,,8209000000000,,590000000000,409000000000,382.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
