DisclosedDate,DisclosedTime,LocalCode,DisclosureNumber,TypeOfDocument,TypeOfCurrentPeriod,CurrentPeriodStartDate,CurrentPeriodEndDate,CurrentFiscalYearStartDate,CurrentFiscalYearEndDate,NextFiscalYearStartDate,NextFiscalYearEndDate,NetSales,OperatingProfit,OrdinaryProfit,Profit,EarningsPerShare,DilutedEarningsPerShare,TotalAssets,Equity,EquityToAssetRatio,BookValuePerShare,CashFlowsFromOperatingActivities,CashFlowsFromInvestingActivities,CashFlowsFromFinancingActivities,CashAndEquivalents,ResultDividendPerShare1stQuarter,ResultDividendPerShare2ndQuarter,ResultDividendPerShare3rdQuarter,ResultDividendPerShareFiscalYearEnd,ResultDividendPerShareAnnual,DistributionsPerUnit(REIT),ResultTotalDividendPaidAnnual,ResultPayoutRatioAnnual,ForecastDividendPerShare1stQuarter,ForecastDividendPerShare2ndQuarter,ForecastDividendPerShare3rdQuarter,ForecastDividendPerShareFiscalYearEnd,ForecastDividendPerShareAnnual,ForecastDistributionsPerUnit(REIT),ForecastTotalDividendPaidAnnual,ForecastPayoutRatioAnnual,NextYearForecastDividendPerShare1stQuarter,NextYearForecastDividendPerShare2ndQuarter,NextYearForecastDividendPerShare3rdQuarter,NextYearForecastDividendPerShareFiscalYearEnd,NextYearForecastDividendPerShareAnnual,NextYearForecastDistributionsPerUnit(REIT),NextYearForecastPayoutRatioAnnual,ForecastNetSales2ndQuarter,ForecastOperatingProfit2ndQuarter,ForecastOrdinaryProfit2ndQuarter,ForecastProfit2ndQuarter,ForecastEarningsPerShare2ndQuarter,NextYearForecastNetSales2ndQuarter,NextYearForecastOperatingProfit2ndQuarter,NextYearForecastOrdinaryProfit2ndQuarter,NextYearForecastProfit2ndQuarter,NextYearForecastEarningsPerShare2ndQuarter,ForecastNetSales,ForecastOperatingProfit,ForecastOrdinaryProfit,ForecastProfit,ForecastEarningsPerShare,NextYearForecastNetSales,NextYearForecastOperatingProfit,NextYearForecastOrdinaryProfit,NextYearForecastProfit,NextYearForecastEarningsPerShare,MaterialChangesInSubsidiaries,SignificantChangesInTheScopeOfConsolidation,ChangesBasedOnRevisionsOfAccountingStandard,ChangesOtherThanOnesBasedOnRevisionsOfAccountingStandard,ChangesInAccountingEstimates,RetrospectiveRestatement,NumberOfIssuedAndOutstandingSharesAtTheEndOfFiscalYearIncludingTreasuryStock,NumberOfTreasuryStockAtTheEndOfFiscalYear,AverageNumberOfShares,NonConsolidatedNetSales,NonConsolidatedOperatingProfit,NonConsolidatedOrdinaryProfit,NonConsolidatedProfit,NonConsolidatedEarningsPerShare,NonConsolidatedTotalAssets,NonConsolidatedEquity,NonConsolidatedEquityToAssetRatio,NonConsolidatedBookValuePerShare,ForecastNonConsolidatedNetSales2ndQuarter,ForecastNonConsolidatedOperatingProfit2ndQuarter,ForecastNonConsolidatedOrdinaryProfit2ndQuarter,ForecastNonConsolidatedProfit2ndQuarter,ForecastNonConsolidatedEarningsPerShare2ndQuarter,NextYearForecastNonConsolidatedNetSales2ndQuarter,NextYearForecastNonConsolidatedOperatingProfit2ndQuarter,NextYearForecastNonConsolidatedOrdinaryProfit2ndQuarter,NextYearForecastNonConsolidatedProfit2ndQuarter,NextYearForecastNonConsolidatedEarningsPerShare2ndQuarter,ForecastNonConsolidatedNetSales,ForecastNonConsolidatedOperatingProfit,ForecastNonConsolidatedOrdinaryProfit,ForecastNonConsolidatedProfit,ForecastNonConsolidatedEarningsPerShare,NextYearForecastNonConsolidatedNetSales,NextYearForecastNonConsolidatedOperatingProfit,NextYearForecastNonConsolidatedOrdinaryProfit,NextYearForecastNonConsolidatedProfit,NextYearForecastNonConsolidatedEarningsPerShare
2020-08-06,15:00:00,88010,20200729469049,1QFinancialStatements_Consolidated_JP,1Q,2020-04-01,2020-06-30,2020-04-01,2021-03-31,,,407025000000,36861000000,29703000000,13770000000,14.23,14.21,7653809000000,2498239000000,0.316,2503.5,-123737000000,-112181000000,308925000000,251963000000,,,,,,,,,,22.0,,22.0,44.0,,,,,,,,,,,,,,,,,,,,,1850000000000,200000000000,169000000000,120000000000,124.04,,,,,,false,,false,false,false,false,979250227,11821975,968040511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-05,15:00:00,88010,20201029411508,2QFinancialStatements_Consolidated_JP,2Q,2020-04-01,2020-09-30,2020-04-01,2021-03-31,,,797401000000,64189000000,47288000000,9040000000,9.36,9.36,7612279000000,2457930000000,0.313,2474.22,-132157000000,-154103000000,282491000000,174743000000,,22.0,,,,,,,,,,22.0,44.0,,,,,,,,,,,,,,,,,,,,,1950000000000,200000000000,169000000000,120000000000,124.72,,,,,,false,,false,false,false,false,965281777,3137730,965519342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,15:00:00,88010,20210201453041,3QFinancialStatements_Consolidated_JP,3Q,2020-04-01,2020-12-31,2020-04-01,2021-03-31,,,1468035000000,164444000000,143268000000,98886000000,102.54,102.45,7596431000000,2572734000000,0.328,2592.29,20561000000,-232937000000,211581000000,178354000000,,22.0,,,,,,,,,,22.0,44.0,,,,,,,,,,,,,,,,,,,,,1950000000000,200000000000,169000000000,120000000000,124.72,,,,,,false,,false,false,false,false,965281777,3139302,964394054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-14,15:00:00,88010,20210510408649,FYFinancialStatements_Consolidated_JP,FY,2020-04-01,2021-03-31,2020-04-01,2021-03-31,2021-04-01,2022-03-31,2007554000000,203770000000,168865000000,129576000000,134.44,134.33,7741972000000,2655991000000,0.33,2656.42,187862000000,-131035000000,-66565000000,187723000000,,22.0,,22.0,44.0,,42334000000,0.327,,,,,,,,,,22.0,,22.0,44.0,,0.265,,,,,,,,,,,,,,,,2150000000000,230000000000,205000000000,160000000000,166.29,false,,false,false,false,false,965281777,3128170,963831489,858686000000,110937000000,141474000000,122785000000,127.39,5957912000000,2178077000000,0.365,2262.26,,,,,,,,,,,,,,,,,,,,
2021-08-06,15:00:00,88010,20210730475490,1QFinancialStatements_Consolidated_JP,1Q,2021-04-01,2021-06-30,2021-04-01,2022-03-31,,,448703000000,35120000000,31141000000,34392000000,35.75,35.72,7823934000000,2692785000000,0.328,2665.03,,,,,,,,,,,,,,22.0,,22.0,44.0,,,,,,,,,,,,,,,,,,,,,2150000000000,230000000000,205000000000,160000000000,166.29,,,,,,false,,true,false,false,false,965281777,3129293,962153161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-05,15:00:00,88010,20211027417987,2QFinancialStatements_Consolidated_JP,2Q,2021-04-01,2021-09-30,2021-04-01,2022-03-31,,,996862000000,100977000000,88874000000,86326000000,89.72,89.65,7930735000000,2751559000000,0.333,2742.6,30997000000,-106111000000,23236000000,143806000000,,22.0,,,,,,,,,,22.0,44.0,,,,,,,,,,,,,,,,,,,,,2150000000000,230000000000,205000000000,160000000000,166.28,,,,,,false,,true,false,false,false,965481947,3138742,962230275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-04,15:00:00,88010,20220127573498,3QFinancialStatements_Consolidated_JP,3Q,2021-04-01,2021-12-31,2021-04-01,2022-03-31,,,1466906000000,154529000000,137818000000,123503000000,128.45,128.35,8186977000000,2775419000000,0.325,2783.8,,,,,,22.0,,,,,,,,,,33.0,55.0,,,,,,,,,,,,,,,,,,,,,2150000000000,240000000000,215000000000,175000000000,182.01,,,,,,false,,true,false,false,false,965481947,9118550,961465458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-13,15:00:00,88010,20220506533776,FYFinancialStatements_Consolidated_JP,FY,2021-04-01,2022-03-31,2021-04-01,2022-03-31,2022-04-01,2023-03-31,2100870000000,244978000000,224940000000,176986000000,184.44,184.3,8208012000000,2913752000000,0.341,2942.11,271469000000,-210057000000,-139600000000,142682000000,,22.0,,33.0,55.0,,52538000000,0.298,,,,,,,,,,30.0,,30.0,60.0,,0.303,,,,,,,,,,,,,,,,2200000000000,300000000000,260000000000,190000000000,198.0,false,,true,false,false,false,959474447,8973356,959573697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-04,15:00:00,88010,20220728507236,1QFinancialStatements_Consolidated_JP,1Q,2022-04-01,2022-06-30,2022-04-01,2023-03-31,,,576716000000,77114000000,73462000000,52919000000,55.68,55.63,8377013000000,2885829000000,0.33,2906.89,,,,,,,,,,,,,,30.0,,30.0,60.0,,,,,,,,,,,,,,,,,,,,,2200000000000,300000000000,260000000000,190000000000,198.0,,,,,,false,,true,false,false,false,953591847,3091744,950500619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-09,15:00:00,88010,20221028551908,2QFinancialStatements_Consolidated_JP,2Q,2022-04-01,2022-09-30,2022-04-01,2023-03-31,,,1057046000000,131518000000,120267000000,100144000000,105.37,105.29,8748249000000,2974756000000,0.325,2994.2,-15780000000,-226930000000,233227000000,169987000000,,30.0,,,,,,,,,,30.0,60.0,,,,,,,,,,,,,,,,,,,,,2200000000000,300000000000,260000000000,190000000000,198.0,,,,,,false,,true,false,false,false,953853227,3839789,950427226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
