DisclosedDate,DisclosedTime,LocalCode,DisclosureNumber,TypeOfDocument,TypeOfCurrentPeriod,CurrentPeriodStartDate,CurrentPeriodEndDate,CurrentFiscalYearStartDate,CurrentFiscalYearEndDate,NextFiscalYearStartDate,NextFiscalYearEndDate,NetSales,OperatingProfit,OrdinaryProfit,Profit,EarningsPerShare,DilutedEarningsPerShare,TotalAssets,Equity,EquityToAssetRatio,BookValuePerShare,CashFlowsFromOperatingActivities,CashFlowsFromInvestingActivities,CashFlowsFromFinancingActivities,CashAndEquivalents,ResultDividendPerShare1stQuarter,ResultDividendPerShare2ndQuarter,ResultDividendPerShare3rdQuarter,ResultDividendPerShareFiscalYearEnd,ResultDividendPerShareAnnual,DistributionsPerUnit(REIT),ResultTotalDividendPaidAnnual,ResultPayoutRatioAnnual,ForecastDividendPerShare1stQuarter,ForecastDividendPerShare2ndQuarter,ForecastDividendPerShare3rdQuarter,ForecastDividendPerShareFiscalYearEnd,ForecastDividendPerShareAnnual,ForecastDistributionsPerUnit(REIT),ForecastTotalDividendPaidAnnual,ForecastPayoutRatioAnnual,NextYearForecastDividendPerShare1stQuarter,NextYearForecastDividendPerShare2ndQuarter,NextYearForecastDividendPerShare3rdQuarter,NextYearForecastDividendPerShareFiscalYearEnd,NextYearForecastDividendPerShareAnnual,NextYearForecastDistributionsPerUnit(REIT),NextYearForecastPayoutRatioAnnual,ForecastNetSales2ndQuarter,ForecastOperatingProfit2ndQuarter,ForecastOrdinaryProfit2ndQuarter,ForecastProfit2ndQuarter,ForecastEarningsPerShare2ndQuarter,NextYearForecastNetSales2ndQuarter,NextYearForecastOperatingProfit2ndQuarter,NextYearForecastOrdinaryProfit2ndQuarter,NextYearForecastProfit2ndQuarter,NextYearForecastEarningsPerShare2ndQuarter,ForecastNetSales,ForecastOperatingProfit,ForecastOrdinaryProfit,ForecastProfit,ForecastEarningsPerShare,NextYearForecastNetSales,NextYearForecastOperatingProfit,NextYearForecastOrdinaryProfit,NextYearForecastProfit,NextYearForecastEarningsPerShare,MaterialChangesInSubsidiaries,SignificantChangesInTheScopeOfConsolidation,ChangesBasedOnRevisionsOfAccountingStandard,ChangesOtherThanOnesBasedOnRevisionsOfAccountingStandard,ChangesInAccountingEstimates,RetrospectiveRestatement,NumberOfIssuedAndOutstandingSharesAtTheEndOfFiscalYearIncludingTreasuryStock,NumberOfTreasuryStockAtTheEndOfFiscalYear,AverageNumberOfShares,NonConsolidatedNetSales,NonConsolidatedOperatingProfit,NonConsolidatedOrdinaryProfit,NonConsolidatedProfit,NonConsolidatedEarningsPerShare,NonConsolidatedTotalAssets,NonConsolidatedEquity,NonConsolidatedEquityToAssetRatio,NonConsolidatedBookValuePerShare,ForecastNonConsolidatedNetSales2ndQuarter,ForecastNonConsolidatedOperatingProfit2ndQuarter,ForecastNonConsolidatedOrdinaryProfit2ndQuarter,ForecastNonConsolidatedProfit2ndQuarter,ForecastNonConsolidatedEarningsPerShare2ndQuarter,NextYearForecastNonConsolidatedNetSales2ndQuarter,NextYearForecastNonConsolidatedOperatingProfit2ndQuarter,NextYearForecastNonConsolidatedOrdinaryProfit2ndQuarter,NextYearForecastNonConsolidatedProfit2ndQuarter,NextYearForecastNonConsolidatedEarningsPerShare2ndQuarter,ForecastNonConsolidatedNetSales,ForecastNonConsolidatedOperatingProfit,ForecastNonConsolidatedOrdinaryProfit,ForecastNonConsolidatedProfit,ForecastNonConsolidatedEarningsPerShare,NextYearForecastNonConsolidatedNetSales,NextYearForecastNonConsolidatedOperatingProfit,NextYearForecastNonConsolidatedOrdinaryProfit,NextYearForecastNonConsolidatedProfit,NextYearForecastNonConsolidatedEarningsPerShare
2020-06-18,15:30:00,80350,20200615445117,EarnForecastRevision,FY,2020-04-01,2021-03-31,2020-04-01,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,306.0,,354.0,660.0,,,,,,,,,,,620000000000,127000000000,127000000000,95000000000,610.83,,,,,,1280000000000,275000000000,275000000000,205000000000,1318.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-28,15:30:00,80350,20200723466517,1QFinancialStatements_Consolidated_JP,1Q,2020-04-01,2020-06-30,2020-04-01,2021-03-31,,,314823000000,73849000000,75089000000,56452000000,362.98,360.87,1278700000000,848360000000,0.653,,,,,,,,,,,,,,,306.0,,354.0,660.0,,,,,,,,,,,620000000000,127000000000,127000000000,95000000000,610.83,,,,,,1280000000000,275000000000,275000000000,205000000000,1318.1,,,,,,false,,false,false,false,false,157210911,1683324,155526131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-29,15:30:00,80350,20201023407268,2QFinancialStatements_Consolidated_JP,2Q,2020-04-01,2020-09-30,2020-04-01,2021-03-31,,,668160000000,147429000000,148228000000,112012000000,720.29,716.05,1276796000000,898662000000,0.694,,105926000000,7391000000,-57989000000,303856000000,,360.0,,,,,,,,,,315.0,675.0,,,,,,,,,,,,,,,,,,,,,1300000000000,281000000000,281000000000,210000000000,1350.57,,,,,,false,,false,false,false,false,157210911,1741601,155511326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,16:00:00,80350,20210122447693,3QFinancialStatements_Consolidated_JP,3Q,2020-04-01,2020-12-31,2020-04-01,2021-03-31,,,959885000000,210297000000,210652000000,158179000000,1017.21,1011.3,1270407000000,906723000000,0.704,,,,,,,360.0,,,,,,,,,,380.0,740.0,,,,,,,,,,,,,,,,,,,,,1360000000000,306000000000,306000000000,230000000000,1479.06,,,,,,false,,false,false,false,false,157210911,1705858,155504372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-30,15:30:00,80350,20210424499483,FYFinancialStatements_Consolidated_JP,FY,2020-04-01,2021-03-31,2020-04-01,2021-03-31,2021-04-01,2022-03-31,1399102000000,320685000000,322103000000,242941000000,1562.2,1553.29,1425364000000,1024562000000,0.711,6512.18,145888000000,-18274000000,-114525000000,265993000000,,360.0,,421.0,781.0,,121937000000,0.5,,,,,,,,,,524.0,,537.0,1061.0,,0.5,,,,,,840000000000,218000000000,218000000000,163000000000,1047.89,,,,,,1700000000000,442000000000,442000000000,330000000000,2121.49,false,,false,false,false,false,157210911,1659611,155511991,1292883000000,164015000000,260109000000,211449000000,1359.7,1034506000000,625913000000,0.594,3949.36,,,,,,,,,,,,,,,,,,,,
2021-08-16,15:30:00,80350,20210715467445,1QFinancialStatements_Consolidated_JP,1Q,2021-04-01,2021-06-30,2021-04-01,2022-03-31,,,452049000000,141791000000,142630000000,100363000000,645.2,641.7,1450835000000,1072005000000,0.729,,,,,,,,,,,,,,,562.0,,627.0,1189.0,,,,,,,,,,,900000000000,245000000000,245000000000,175000000000,1124.99,,,,,,1850000000000,508000000000,508000000000,370000000000,2378.53,,,,,,false,,true,false,false,false,157210911,1651904,155555388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-12,15:30:00,80350,20211020413606,2QFinancialStatements_Consolidated_JP,2Q,2021-04-01,2021-09-30,2021-04-01,2022-03-31,,,932514000000,274647000000,277762000000,200219000000,1286.74,1279.96,1634037000000,1185882000000,0.718,,205914000000,-25785000000,-66190000000,380364000000,,643.0,,,,,,,,,,641.0,1284.0,,,,,,,,,,,,,,,,,,,,,1900000000000,551000000000,551000000000,400000000000,2569.88,,,,,,false,,true,false,false,false,157210911,1515144,155602587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,15:30:00,80350,20211224560333,3QFinancialStatements_Consolidated_JP,3Q,2021-04-01,2021-12-31,2021-04-01,2022-03-31,,,1438988000000,430691000000,433380000000,310246000000,1993.38,1983.22,1724347000000,1217144000000,0.699,,,,,,,643.0,,,,,,,,,,693.0,1336.0,,,,,,,,,,,,,,,,,,,,,1950000000000,570000000000,573000000000,416000000000,2672.51,,,,,,false,,true,false,false,false,157210911,1489693,155638190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-12,15:30:00,80350,20220401515999,FYFinancialStatements_Consolidated_JP,FY,2021-04-01,2022-03-31,2021-04-01,2022-03-31,2022-04-01,2023-03-31,2003805000000,599271000000,601724000000,437076000000,2807.84,2793.89,1894457000000,1347048000000,0.705,8572.45,283387000000,-55632000000,-167256000000,335648000000,,643.0,,760.0,1403.0,,219339000000,0.5,,,,,,,,,,751.0,,927.0,1678.0,,0.5,,,,,,1100000000000,319000000000,319000000000,234000000000,1502.41,,,,,,2350000000000,716000000000,716000000000,523000000000,3357.96,false,,true,false,false,false,157210911,1461581,155662742,1842535000000,306639000000,452182000000,358065000000,2300.27,1439595000000,850303000000,0.582,5383.05,,,,,,,,,,,,,,,,,,,,
2022-08-08,15:30:00,80350,20220722503342,1QFinancialStatements_Consolidated_JP,1Q,2022-04-01,2022-06-30,2022-04-01,2023-03-31,,,473654000000,117519000000,117692000000,88095000000,565.59,562.98,1846911000000,1314847000000,0.704,,,,,,,,,,,,,,,751.0,,927.0,1678.0,,,,,,,,,,,1100000000000,319000000000,319000000000,234000000000,1502.29,,,,,,2350000000000,716000000000,716000000000,523000000000,3357.63,,,,,,false,,false,false,false,false,157210911,1443724,155756620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
