DisclosedDate,DisclosedTime,LocalCode,DisclosureNumber,TypeOfDocument,TypeOfCurrentPeriod,CurrentPeriodStartDate,CurrentPeriodEndDate,CurrentFiscalYearStartDate,CurrentFiscalYearEndDate,NextFiscalYearStartDate,NextFiscalYearEndDate,NetSales,OperatingProfit,OrdinaryProfit,Profit,EarningsPerShare,DilutedEarningsPerShare,TotalAssets,Equity,EquityToAssetRatio,BookValuePerShare,CashFlowsFromOperatingActivities,CashFlowsFromInvestingActivities,CashFlowsFromFinancingActivities,CashAndEquivalents,ResultDividendPerShare1stQuarter,ResultDividendPerShare2ndQuarter,ResultDividendPerShare3rdQuarter,ResultDividendPerShareFiscalYearEnd,ResultDividendPerShareAnnual,DistributionsPerUnit(REIT),ResultTotalDividendPaidAnnual,ResultPayoutRatioAnnual,ForecastDividendPerShare1stQuarter,ForecastDividendPerShare2ndQuarter,ForecastDividendPerShare3rdQuarter,ForecastDividendPerShareFiscalYearEnd,ForecastDividendPerShareAnnual,ForecastDistributionsPerUnit(REIT),ForecastTotalDividendPaidAnnual,ForecastPayoutRatioAnnual,NextYearForecastDividendPerShare1stQuarter,NextYearForecastDividendPerShare2ndQuarter,NextYearForecastDividendPerShare3rdQuarter,NextYearForecastDividendPerShareFiscalYearEnd,NextYearForecastDividendPerShareAnnual,NextYearForecastDistributionsPerUnit(REIT),NextYearForecastPayoutRatioAnnual,ForecastNetSales2ndQuarter,ForecastOperatingProfit2ndQuarter,ForecastOrdinaryProfit2ndQuarter,ForecastProfit2ndQuarter,ForecastEarningsPerShare2ndQuarter,NextYearForecastNetSales2ndQuarter,NextYearForecastOperatingProfit2ndQuarter,NextYearForecastOrdinaryProfit2ndQuarter,NextYearForecastProfit2ndQuarter,NextYearForecastEarningsPerShare2ndQuarter,ForecastNetSales,ForecastOperatingProfit,ForecastOrdinaryProfit,ForecastProfit,ForecastEarningsPerShare,NextYearForecastNetSales,NextYearForecastOperatingProfit,NextYearForecastOrdinaryProfit,NextYearForecastProfit,NextYearForecastEarningsPerShare,MaterialChangesInSubsidiaries,SignificantChangesInTheScopeOfConsolidation,ChangesBasedOnRevisionsOfAccountingStandard,ChangesOtherThanOnesBasedOnRevisionsOfAccountingStandard,ChangesInAccountingEstimates,RetrospectiveRestatement,NumberOfIssuedAndOutstandingSharesAtTheEndOfFiscalYearIncludingTreasuryStock,NumberOfTreasuryStockAtTheEndOfFiscalYear,AverageNumberOfShares,NonConsolidatedNetSales,NonConsolidatedOperatingProfit,NonConsolidatedOrdinaryProfit,NonConsolidatedProfit,NonConsolidatedEarningsPerShare,NonConsolidatedTotalAssets,NonConsolidatedEquity,NonConsolidatedEquityToAssetRatio,NonConsolidatedBookValuePerShare,ForecastNonConsolidatedNetSales2ndQuarter,ForecastNonConsolidatedOperatingProfit2ndQuarter,ForecastNonConsolidatedOrdinaryProfit2ndQuarter,ForecastNonConsolidatedProfit2ndQuarter,ForecastNonConsolidatedEarningsPerShare2ndQuarter,NextYearForecastNonConsolidatedNetSales2ndQuarter,NextYearForecastNonConsolidatedOperatingProfit2ndQuarter,NextYearForecastNonConsolidatedOrdinaryProfit2ndQuarter,NextYearForecastNonConsolidatedProfit2ndQuarter,NextYearForecastNonConsolidatedEarningsPerShare2ndQuarter,ForecastNonConsolidatedNetSales,ForecastNonConsolidatedOperatingProfit,ForecastNonConsolidatedOrdinaryProfit,ForecastNonConsolidatedProfit,ForecastNonConsolidatedEarningsPerShare,NextYearForecastNonConsolidatedNetSales,NextYearForecastNonConsolidatedOperatingProfit,NextYearForecastNonConsolidatedOrdinaryProfit,NextYearForecastNonConsolidatedProfit,NextYearForecastNonConsolidatedEarningsPerShare
2023-02-09,14:00:00,94320,20230209504141,3QFinancialStatements_Consolidated_IFRS,3Q,2022-04-01,2022-12-31,2022-04-01,2023-03-31,,,9572594000000,1520829000000,,1032527000000,294.5,,25156070000000,9201371000000,0.335,2447.28,,,,821832000000,,60.0,,,,,,,,,,60.0,120.0,,,,,,,,,,,,,,,,,,,,,12600000000000,1820000000000,,1190000000000,340.0,,,,,,false,,false,false,false,,3622012656,179323493,3506091060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-12,13:00:00,94320,20230512568134,FYFinancialStatements_Consolidated_IFRS,FY,2022-04-01,2023-03-31,2022-04-01,2023-03-31,2023-04-01,2024-03-31,13136194000000,1828986000000,,1213116000000,347.99,,25308851000000,9350627000000,0.338,2511.06,2261013000000,-1736912000000,-590197000000,793920000000,,60.0,,60.0,120.0,,411603000000,0.345,,,,,,,,,,2.5,,2.5,5.0,,0.338,,,,,,,,,,,,,,,,13060000000000,1950000000000,,1255000000000,14.8,false,,false,false,false,,3622012656,212557774,3486085670,1324225000000,1149363000000,1131632000000,1152905000000,330.72,11805898000000,5194125000000,0.44,1523.45,,,,,,,,,,,,,,,,1286000000000,1131000000000,1116000000000,1124000000000,13.28
2023-08-09,14:00:00,94320,20230807535000,FYFinancialStatements_Consolidated_IFRS,FY,2022-04-01,2023-03-31,2022-04-01,2023-03-31,2023-04-01,2024-03-31,13136194000000,1828986000000,,1213116000000,347.99,,25308851000000,9350627000000,0.338,2511.06,2261013000000,-1736912000000,-590197000000,793920000000,,60.0,,60.0,120.0,,411603000000,0.345,,,,,,,,,,2.5,,2.5,5.0,,0.338,,,,,,,,,,,,,,,,13060000000000,1950000000000,,1255000000000,14.8,false,,false,false,false,,3622012656,212557774,3486085670,1324225000000,1149363000000,1131632000000,1152905000000,330.72,11805898000000,5194125000000,0.44,1523.45,,,,,,,,,,,,,,,,1286000000000,1131000000000,1116000000000,1124000000000,13.28
2023-08-09,14:00:00,94320,20230808537701,1QFinancialStatements_Consolidated_IFRS,1Q,2023-04-01,2023-06-30,2023-04-01,2024-03-31,,,3111073000000,474650000000,,375775000000,4.41,,26131050000000,9787366000000,0.342,104.97,,,,1017909000000,,,,,,,,,,2.5,,2.5,5.0,,,,,,,,,,,,,,,,,,,,,13060000000000,1950000000000,,1255000000000,14.8,,,,,,false,,true,false,false,,90550316400,5315005300,85235489679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-07,14:00:00,94320,20231106579644,2QFinancialStatements_Consolidated_IFRS,2Q,2023-04-01,2023-09-30,2023-04-01,2024-03-31,,,6364570000000,950946000000,,670844000000,7.87,,26813578000000,10220167000000,0.347,109.48,,,,715008000000,,2.5,,,,,,,,,,2.5,5.0,,,,,,,,,,,,,,,,,,,,,13060000000000,1950000000000,,1255000000000,14.8,,,,,,false,,true,false,false,,90550316400,5450110706,85225873505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-08,14:00:00,94320,20240208529292,3QFinancialStatements_Consolidated_IFRS,3Q,2023-04-01,2023-12-31,2023-04-01,2024-03-31,,,9716856000000,1486187000000,,1011115000000,11.89,,27244710000000,10120645000000,0.339,109.78,,,,945045000000,,2.5,,,,,,,,,,2.5,5.0,,,,,,,,,,,,,,,,,,,,,13060000000000,1950000000000,,1255000000000,14.8,,,,,,false,,true,false,false,,90550316400,6433625507,85028855662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10,12:50:00,94320,20240509585955,FYFinancialStatements_Consolidated_IFRS,FY,2023-04-01,2024-03-31,2023-04-01,2024-03-31,2024-04-01,2025-03-31,13374569000000,1922910000000,,1279521000000,15.09,,29604223000000,10893059000000,0.333,117.08,2374159000000,-1989235000000,-234454000000,982874000000,,2.5,,2.6,5.1,,431481000000,0.338,,,,,,,,,,2.6,,2.6,5.2,,0.4,,,,,,,,,,,,,,,,13460000000000,1810000000000,,1100000000000,13.0,false,,true,false,false,,90550316400,6468768847,84799194212,1294957000000,1125598000000,1106278000000,1166938000000,13.76,12284883000000,6048907000000,0.492,71.94,,,,,,,,,,,,,,,,1324000000000,1164000000000,1148000000000,1148000000000,13.6
2024-05-10,12:50:00,94320,20240509586206,DividendForecastRevision,FY,2023-04-01,2024-03-31,2023-04-01,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,2.6,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-07,14:00:00,94320,20240806563574,1QFinancialStatements_Consolidated_IFRS,1Q,2024-04-01,2024-06-30,2024-04-01,2025-03-31,,,3240023000000,435817000000,,274136000000,3.26,,29989405000000,11068578000000,0.332,118.55,195134000000,-585818000000,505046000000,1114248000000,,,,,,,,,,2.6,,2.6,5.2,,,,,,,,,,,,,,,,,,,,,13460000000000,1810000000000,,1100000000000,13.0,,,,,,,false,false,false,false,,90550316400,6467282494,84081781237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-07,14:00:00,94320,20241105511748,2QFinancialStatements_Consolidated_IFRS,2Q,2024-04-01,2024-09-30,2024-04-01,2025-03-31,,,6590625000000,920255000000,,554792000000,6.6,,29045759000000,11055392000000,0.344,119.16,,,,1207863000000,,2.6,,,,,,,,,,2.6,5.2,,,,,,,,,,,,,,,,,,,,,13460000000000,1810000000000,,1100000000000,13.0,,,,,,,false,false,false,false,,90550316400,6703078947,84060369383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-07,14:00:00,94320,20250207566017,3QFinancialStatements_Consolidated_IFRS,3Q,2024-04-01,2024-12-31,2024-04-01,2025-03-31,,,10049724000000,1399233000000,,850691000000,10.15,,30603365000000,11280299000000,0.332,122.21,1078585000000,-1464415000000,584195000000,1198183000000,,2.6,,,,,,,,,,2.6,5.2,,,,,,,,,,,,,,,,,,,,,13460000000000,1810000000000,,1100000000000,13.0,,,,,,,false,false,false,false,,90550316400,7416249305,83842793259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-09,13:00:00,94320,20250509536933,FYFinancialStatements_Consolidated_IFRS,FY,2024-04-01,2025-03-31,2024-04-01,2025-03-31,2025-04-01,2026-03-31,13704727000000,1649571000000,,1000016000000,11.96,,30062483000000,11344639000000,0.34,123.54,2364031000000,-1999644000000,-343027000000,1000994000000,,2.6,,2.6,5.2,,433303000000,0.435,,,,,,,,,,2.65,,2.65,5.3,,0.421,,,,,,,,,,,,,,,,14190000000000,1770000000000,,1040000000000,12.6,,false,false,false,false,,90550316400,7811965740,83610854500,1330710000000,1164192000000,1139405000000,1145080000000,13.7,11966934000000,6462982000000,0.54,78.11,,,,,,,,,,,,,,,,1152000000000,973000000000,950000000000,962000000000,11.7
