DisclosedDate,DisclosedTime,LocalCode,DisclosureNumber,TypeOfDocument,TypeOfCurrentPeriod,CurrentPeriodStartDate,CurrentPeriodEndDate,CurrentFiscalYearStartDate,CurrentFiscalYearEndDate,NextFiscalYearStartDate,NextFiscalYearEndDate,NetSales,OperatingProfit,OrdinaryProfit,Profit,EarningsPerShare,DilutedEarningsPerShare,TotalAssets,Equity,EquityToAssetRatio,BookValuePerShare,CashFlowsFromOperatingActivities,CashFlowsFromInvestingActivities,CashFlowsFromFinancingActivities,CashAndEquivalents,ResultDividendPerShare1stQuarter,ResultDividendPerShare2ndQuarter,ResultDividendPerShare3rdQuarter,ResultDividendPerShareFiscalYearEnd,ResultDividendPerShareAnnual,DistributionsPerUnit(REIT),ResultTotalDividendPaidAnnual,ResultPayoutRatioAnnual,ForecastDividendPerShare1stQuarter,ForecastDividendPerShare2ndQuarter,ForecastDividendPerShare3rdQuarter,ForecastDividendPerShareFiscalYearEnd,ForecastDividendPerShareAnnual,ForecastDistributionsPerUnit(REIT),ForecastTotalDividendPaidAnnual,ForecastPayoutRatioAnnual,NextYearForecastDividendPerShare1stQuarter,NextYearForecastDividendPerShare2ndQuarter,NextYearForecastDividendPerShare3rdQuarter,NextYearForecastDividendPerShareFiscalYearEnd,NextYearForecastDividendPerShareAnnual,NextYearForecastDistributionsPerUnit(REIT),NextYearForecastPayoutRatioAnnual,ForecastNetSales2ndQuarter,ForecastOperatingProfit2ndQuarter,ForecastOrdinaryProfit2ndQuarter,ForecastProfit2ndQuarter,ForecastEarningsPerShare2ndQuarter,NextYearForecastNetSales2ndQuarter,NextYearForecastOperatingProfit2ndQuarter,NextYearForecastOrdinaryProfit2ndQuarter,NextYearForecastProfit2ndQuarter,NextYearForecastEarningsPerShare2ndQuarter,ForecastNetSales,ForecastOperatingProfit,ForecastOrdinaryProfit,ForecastProfit,ForecastEarningsPerShare,NextYearForecastNetSales,NextYearForecastOperatingProfit,NextYearForecastOrdinaryProfit,NextYearForecastProfit,NextYearForecastEarningsPerShare,MaterialChangesInSubsidiaries,SignificantChangesInTheScopeOfConsolidation,ChangesBasedOnRevisionsOfAccountingStandard,ChangesOtherThanOnesBasedOnRevisionsOfAccountingStandard,ChangesInAccountingEstimates,RetrospectiveRestatement,NumberOfIssuedAndOutstandingSharesAtTheEndOfFiscalYearIncludingTreasuryStock,NumberOfTreasuryStockAtTheEndOfFiscalYear,AverageNumberOfShares,NonConsolidatedNetSales,NonConsolidatedOperatingProfit,NonConsolidatedOrdinaryProfit,NonConsolidatedProfit,NonConsolidatedEarningsPerShare,NonConsolidatedTotalAssets,NonConsolidatedEquity,NonConsolidatedEquityToAssetRatio,NonConsolidatedBookValuePerShare,ForecastNonConsolidatedNetSales2ndQuarter,ForecastNonConsolidatedOperatingProfit2ndQuarter,ForecastNonConsolidatedOrdinaryProfit2ndQuarter,ForecastNonConsolidatedProfit2ndQuarter,ForecastNonConsolidatedEarningsPerShare2ndQuarter,NextYearForecastNonConsolidatedNetSales2ndQuarter,NextYearForecastNonConsolidatedOperatingProfit2ndQuarter,NextYearForecastNonConsolidatedOrdinaryProfit2ndQuarter,NextYearForecastNonConsolidatedProfit2ndQuarter,NextYearForecastNonConsolidatedEarningsPerShare2ndQuarter,ForecastNonConsolidatedNetSales,ForecastNonConsolidatedOperatingProfit,ForecastNonConsolidatedOrdinaryProfit,ForecastNonConsolidatedProfit,ForecastNonConsolidatedEarningsPerShare,NextYearForecastNonConsolidatedNetSales,NextYearForecastNonConsolidatedOperatingProfit,NextYearForecastNonConsolidatedOrdinaryProfit,NextYearForecastNonConsolidatedProfit,NextYearForecastNonConsolidatedEarningsPerShare
2020-08-11,15:00:00,94320,20200811479438,1QFinancialStatements_Consolidated_IFRS,1Q,2020-04-01,2020-06-30,2020-04-01,2021-03-31,,,2766457000000,497586000000,,272638000000,73.51,,23420230000000,11836172000000,0.402,2534.52,,,,1072531000000,,,,,,,,,,50.0,,50.0,100.0,,,,,,,,,,,,,,,,,,,,,11500000000000,1590000000000,,860000000000,231.4,,,,,,false,,false,true,false,,3900788940,184821156,3708868906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-06,15:00:00,94320,20201106417386,2QFinancialStatements_Consolidated_IFRS,2Q,2020-04-01,2020-09-30,2020-04-01,2021-03-31,,,5711364000000,1008580000000,,541511000000,145.86,,22856011000000,12232315000000,0.426,2618.26,,,,1006339000000,,50.0,,,,,,,,,,50.0,100.0,,,,,,,,,,,,,,,,,,,,,11500000000000,1590000000000,,860000000000,232.4,,,,,,false,,false,true,false,,3900788940,184836010,3712433988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,15:00:00,94320,20210205456375,3QFinancialStatements_Consolidated_IFRS,3Q,2020-04-01,2020-12-31,2020-04-01,2021-03-31,,,8738006000000,1502326000000,,831174000000,224.07,,23862025000000,8046373000000,0.312,2025.28,,,,1352893000000,,50.0,,,,,,,,,,55.0,105.0,,,,,,,,,,,,,,,,,,,,,11500000000000,1590000000000,,860000000000,232.4,,,,,,false,,false,true,false,,3900788940,228349644,3709485902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-12,15:00:00,94320,20210511412360,FYFinancialStatements_Consolidated_IFRS,FY,2020-04-01,2021-03-31,2020-04-01,2021-03-31,2021-04-01,2022-03-31,11943966000000,1671391000000,,916181000000,248.15,,22965492000000,8203043000000,0.329,2087.98,3009064000000,-1424532000000,-1689548000000,935727000000,,50.0,,55.0,105.0,,385008000000,0.423,,,,,,,,,,55.0,,55.0,110.0,,0.367,,,,,,,,,,,,,,,,12000000000000,1730000000000,,1085000000000,300.0,false,,false,true,false,,3900788940,278776284,3691993269,794074000000,644427000000,639759000000,639237000000,173.14,11476431000000,5176630000000,0.451,1429.21,,,,,,,,,,,,,,,,,,,,
2021-08-06,15:00:00,94320,20210806481045,1QFinancialStatements_Consolidated_IFRS,1Q,2021-04-01,2021-06-30,2021-04-01,2022-03-31,,,2892570000000,486274000000,,339987000000,93.87,,23082532000000,8382918000000,0.335,2135.59,,,,1139296000000,,,,,,,,,,55.0,,55.0,110.0,,,,,,,,,,,,,,,,,,,,,12000000000000,1730000000000,,1085000000000,302.0,,,,,,false,,false,false,false,,3900788940,278787184,3622007051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-10,15:00:00,94320,20211110430105,2QFinancialStatements_Consolidated_IFRS,2Q,2021-04-01,2021-09-30,2021-04-01,2022-03-31,,,5887647000000,1009276000000,,675833000000,186.77,,22719507000000,8699411000000,0.353,2230.17,,,,905220000000,,55.0,,,,,,,,,,55.0,110.0,,,,,,,,,,,,,,,,,,,,,12000000000000,1730000000000,,1085000000000,302.0,,,,,,false,,false,false,false,,3900788940,306395672,3618531872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-07,15:00:00,94320,20220204580448,3QFinancialStatements_Consolidated_IFRS,3Q,2021-04-01,2021-12-31,2021-04-01,2022-03-31,,,8923226000000,1539668000000,,1030347000000,286.08,,23544353000000,8700970000000,0.34,2258.31,,,,826367000000,,55.0,,,,,,,,,,60.0,115.0,,,,,,,,,,,,,,,,,,,,,12180000000000,1745000000000,,1100000000000,306.0,,,,,,false,,false,false,false,,3622012656,80537372,3601626894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-12,13:00:00,94320,20220511539593,FYFinancialStatements_Consolidated_IFRS,FY,2021-04-01,2022-03-31,2021-04-01,2022-03-31,2022-04-01,2023-03-31,12156447000000,1768593000000,,1181083000000,329.29,,23862241000000,9018132000000,0.347,2338.73,3010257000000,-1699152000000,-1438130000000,834564000000,,55.0,,60.0,115.0,,410303000000,0.349,,,,,,,,,,60.0,,60.0,120.0,,0.353,,,,,,,,,,,,,,,,12600000000000,1820000000000,,1190000000000,340.0,false,,false,false,false,,3622012656,80580190,3586788697,650116000000,479806000000,474497000000,470502000000,131.18,11664291000000,5012166000000,0.43,1415.29,,,,,,,,,,,,,,,,1300000000000,1136000000000,1121000000000,1151000000000,329.0
2022-08-08,13:00:00,94320,20220804512030,1QFinancialStatements_Consolidated_IFRS,1Q,2022-04-01,2022-06-30,2022-04-01,2023-03-31,,,3068871000000,503352000000,,368570000000,104.07,,24403316000000,9294449000000,0.349,2404.21,,,,924727000000,,,,,,,,,,60.0,,60.0,120.0,,,,,,,,,,,,,,,,,,,,,12600000000000,1820000000000,,1190000000000,340.0,,,,,,false,,false,false,false,,3622012656,80582089,3541424710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-08,14:00:00,94320,20221107557960,2QFinancialStatements_Consolidated_IFRS,2Q,2022-04-01,2022-09-30,2022-04-01,2023-03-31,,,6286177000000,996539000000,,696607000000,197.04,,24881836000000,9294562000000,0.34,2456.26,,,,948817000000,,60.0,,,,,,,,,,60.0,120.0,,,,,,,,,,,,,,,,,,,,,12600000000000,1820000000000,,1190000000000,340.0,,,,,,false,,false,false,false,,3622012656,173486714,3535345412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
