Year/Month,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,No. of cos.,Average_PER(times),Average_PBR(times),"Average_Earnings
Per Share(Yen)","Average_Net Assets
Per Share(Yen)","Weighted average_
PER(times)","Weighted average_
PBR(times)","Weighted average_
Earnings(￥)","Weighted average_
Net Assets(￥)"
2024/05,プライム市場,Prime,総合（金融業を除く）,Non-Financial,1519.0,18.3,1.5,164.45,2060.48,20.1,1.7,42597962883577.0,513401354657771.0
2024/05,プライム市場,Prime,　　　　　 製造業,　　　　 Manufacturing ,714.0,20.3,1.4,171.82,2474.82,21.9,1.8,23625835691562.0,295300478016044.0
2024/05,プライム市場,Prime,　　　　 非製造業,　　　　 Non-Manufacturing ,805.0,16.4,1.5,157.92,1692.97,17.7,1.5,18972127192015.0,218100876641727.0
2024/05,プライム市場,Prime,1 水産・農林業,"1 Fishery,Agriculture & Forestry",6.0,13.0,1.0,180.5,2249.53,13.7,1.1,54244000000.0,679567000000.0
2024/05,プライム市場,Prime,2 鉱業,2 Mining,5.0,5.6,0.8,821.71,5577.33,7.7,0.7,478146000000.0,5165292000000.0
2024/05,プライム市場,Prime,3 建設業,3 Construction,75.0,17.9,1.2,144.37,2217.83,14.3,1.2,1413429000000.0,16943865978000.0
2024/05,プライム市場,Prime,4 食料品,4 Foods,68.0,24.8,1.3,116.29,2184.87,22.5,1.7,1509283000000.0,19567959739064.0
2024/05,プライム市場,Prime,5 繊維製品,5 Textiles & Apparels,21.0,20.9,1.0,123.5,2513.06,24.3,1.0,147517618531.0,3770274709440.0
2024/05,プライム市場,Prime,6 パルプ・紙,6 Pulp & Paper,10.0,28.2,0.6,61.8,2772.74,94.0,0.6,17634000000.0,2590229000000.0
2024/05,プライム市場,Prime,7 化学,7 Chemicals,122.0,18.1,1.2,156.53,2385.3,21.8,1.6,2491362000000.0,34479656000000.0
2024/05,プライム市場,Prime,8 医薬品,8 Pharmaceutical,34.0,22.3,1.4,131.86,2139.95,29.1,2.1,1466793000000.0,20140399000000.0
2024/05,プライム市場,Prime,9 石油・石炭製品,9 Oil & Coal Products,6.0,10.3,1.0,206.49,2190.89,10.1,0.8,474131000000.0,5778671000000.0
2024/05,プライム市場,Prime,10 ゴム製品,10 Rubber Products,11.0,12.5,1.1,255.45,2983.48,12.9,1.2,549164000000.0,5825941000000.0
2024/05,プライム市場,Prime,11 ガラス・土石製品,11 Glass & Ceramics Products,23.0,28.7,1.5,163.96,3089.17,26.6,1.1,256020000000.0,6117163577965.0
2024/05,プライム市場,Prime,12 鉄鋼,12 Iron & Steel,22.0,9.2,0.8,324.76,3867.72,6.8,0.8,1197284000000.0,10748588000000.0
2024/05,プライム市場,Prime,13 非鉄金属,13 Nonferrous Metals,21.0,14.7,0.9,193.87,3195.22,15.3,1.0,460044000000.0,7097692000000.0
2024/05,プライム市場,Prime,14 金属製品,14 Metal Products,29.0,20.2,0.8,101.69,2558.49,19.7,1.0,246472000000.0,4777226000000.0
2024/05,プライム市場,Prime,15 機械,15 Machinery,112.0,21.6,1.8,211.82,2511.74,21.6,2.0,2352358160000.0,25912647114064.0
2024/05,プライム市場,Prime,16 電気機器,16 Electric Appliances,130.0,23.2,1.9,195.52,2327.14,26.4,2.5,5789434413031.0,61864563858416.0
2024/05,プライム市場,Prime,17 輸送用機器,17 Transportation Equipment,41.0,21.1,1.0,140.84,2929.44,19.6,1.4,5084014500000.0,72571768017095.0
2024/05,プライム市場,Prime,18 精密機器,18 Precision Instruments,27.0,23.3,2.0,155.72,1807.55,28.6,3.4,649991000000.0,5465129000000.0
2024/05,プライム市場,Prime,19 その他製品,19 Other Products,37.0,17.1,1.5,185.79,2108.95,22.9,2.5,934333000000.0,8592570000000.0
2024/05,プライム市場,Prime,20 電気・ガス業,20 Electric Power & Gas,21.0,38.3,0.9,50.29,2157.08,"=""－""",1.0,-43514000000.0,13751833923976.0
2024/05,プライム市場,Prime,21 陸運業,21 Land Transportation,39.0,16.5,1.1,190.69,2779.31,17.6,1.2,1235480000000.0,18026315000000.0
2024/05,プライム市場,Prime,22 海運業,22 Marine Transportation,5.0,2.8,1.0,1345.02,3947.33,2.4,1.0,2553771000000.0,6257386000000.0
2024/05,プライム市場,Prime,23 空運業,23 Air Transportation,2.0,21.4,1.5,131.76,1878.8,21.0,1.5,123900000000.0,1727348000000.0
2024/05,プライム市場,Prime,24 倉庫・運輸関連業,24 Warehousing & Harbor Transportation Services,13.0,11.2,1.0,265.26,2887.94,11.8,1.0,126611000000.0,1508995000000.0
2024/05,プライム市場,Prime,25 情報・通信業,25 Information & Communication,181.0,24.8,2.3,100.0,1076.75,27.6,1.8,3093715000000.0,48457132000000.0
2024/05,プライム市場,Prime,26 卸売業,26 Wholesale Trade,124.0,11.9,1.2,246.44,2469.0,11.8,1.6,5612648000000.0,41930259000000.0
2024/05,プライム市場,Prime,27 小売業,27 Retail Trade,134.0,23.2,1.9,133.61,1624.54,27.6,2.2,1815381192015.0,22420339106233.0
2024/05,プライム市場,Prime,28 銀行業,28 Banks,67.0,10.5,0.5,217.51,4567.74,16.3,0.9,4113588901480.0,76717692903000.0
2024/05,プライム市場,Prime,29 証券、商品先物取引業,29 Securities & Commodity Futures,19.0,17.8,1.1,75.53,1179.16,28.9,1.0,268041000000.0,7766544000000.0
2024/05,プライム市場,Prime,30 保険業,30 Insurance,9.0,38.9,1.6,79.58,1974.94,33.1,1.8,791366000000.0,14870670000000.0
2024/05,プライム市場,Prime,31 その他金融業,31 Other Financing Business,20.0,12.5,1.0,223.88,2687.15,16.3,1.2,702045000000.0,9440661000000.0
2024/05,プライム市場,Prime,32 不動産業,32 Real Estate,49.0,13.9,1.6,180.29,1515.09,15.2,1.4,1242394000000.0,13974597000000.0
2024/05,プライム市場,Prime,33 サービス業,33 Services,151.0,16.8,1.9,111.12,976.26,35.9,1.7,1265922000000.0,27257946633518.0
2024/05,スタンダード市場,Standard,総合,Composite,1601.0,14.6,0.9,100.52,1692.4,16.7,1.1,1649834065282.0,25247157467132.0
2024/05,スタンダード市場,Standard,総合（金融業を除く）,Non-Financial,1559.0,14.6,0.9,101.56,1699.86,17.1,1.1,1515440903026.0,23558270077132.0
2024/05,スタンダード市場,Standard,　　　　　 製造業,　　　　 Manufacturing ,644.0,14.2,0.8,117.54,2196.28,16.1,0.9,645794622560.0,12148815840281.0
2024/05,スタンダード市場,Standard,　　　　 非製造業,　　　　 Non-Manufacturing ,915.0,15.1,1.0,90.31,1350.47,17.9,1.4,869646280466.0,11409454236851.0
2024/05,スタンダード市場,Standard,1 水産・農林業,"1 Fishery,Agriculture & Forestry",6.0,17.1,1.2,115.05,1603.44,13.6,0.9,3925000000.0,59016000000.0
2024/05,スタンダード市場,Standard,2 鉱業,2 Mining,1.0,21.5,4.4,62.02,303.04,21.5,4.4,3652720000.0,17846720000.0
2024/05,スタンダード市場,Standard,3 建設業,3 Construction,70.0,13.0,0.8,141.69,2390.08,13.3,1.0,88535212000.0,1231848254684.0
2024/05,スタンダード市場,Standard,4 食料品,4 Foods,52.0,23.3,1.2,92.71,1739.37,20.8,1.2,50882000000.0,878392914595.0
2024/05,スタンダード市場,Standard,5 繊維製品,5 Textiles & Apparels,28.0,16.4,0.6,75.12,2025.79,14.8,0.6,19327000000.0,446251000000.0
2024/05,スタンダード市場,Standard,6 パルプ・紙,6 Pulp & Paper,14.0,10.1,0.6,137.11,2292.61,10.7,0.6,12192000000.0,209366000000.0
2024/05,スタンダード市場,Standard,7 化学,7 Chemicals,83.0,15.7,0.8,131.14,2427.91,15.7,0.9,90500000000.0,1594050011697.0
2024/05,スタンダード市場,Standard,8 医薬品,8 Pharmaceutical,7.0,12.0,0.9,112.33,1573.46,12.1,1.0,5580000000.0,67674000000.0
2024/05,スタンダード市場,Standard,9 石油・石炭製品,9 Oil & Coal Products,4.0,24.1,0.8,44.1,1412.06,36.7,0.9,1741000000.0,73862000000.0
2024/05,スタンダード市場,Standard,10 ゴム製品,10 Rubber Products,7.0,9.6,0.7,167.89,2351.38,12.4,0.7,9393000000.0,162974000000.0
2024/05,スタンダード市場,Standard,11 ガラス・土石製品,11 Glass & Ceramics Products,31.0,16.8,0.8,87.35,1821.63,19.2,1.0,28826000000.0,550964000000.0
2024/05,スタンダード市場,Standard,12 鉄鋼,12 Iron & Steel,20.0,8.6,0.5,196.17,3075.94,12.4,0.6,23584000000.0,513000000000.0
2024/05,スタンダード市場,Standard,13 非鉄金属,13 Nonferrous Metals,10.0,11.5,0.7,98.0,1648.71,13.2,0.8,5154000000.0,89214000000.0
2024/05,スタンダード市場,Standard,14 金属製品,14 Metal Products,58.0,12.2,0.6,148.44,3185.44,15.2,0.6,38447000000.0,991350000000.0
2024/05,スタンダード市場,Standard,15 機械,15 Machinery,105.0,12.8,0.8,136.96,2185.89,13.8,0.9,127099000000.0,1973866000000.0
2024/05,スタンダード市場,Standard,16 電気機器,16 Electric Appliances,102.0,14.3,0.8,113.62,1933.54,13.5,1.0,143115622560.0,1967503913989.0
2024/05,スタンダード市場,Standard,17 輸送用機器,17 Transportation Equipment,44.0,22.0,0.7,77.78,2472.15,48.2,0.7,21836000000.0,1547986000000.0
2024/05,スタンダード市場,Standard,18 精密機器,18 Precision Instruments,17.0,14.0,1.1,73.32,956.11,11.7,1.3,35064000000.0,322442000000.0
2024/05,スタンダード市場,Standard,19 その他製品,19 Other Products,62.0,10.1,0.5,112.43,2088.69,17.8,0.8,33054000000.0,759920000000.0
2024/05,スタンダード市場,Standard,20 電気・ガス業,20 Electric Power & Gas,4.0,25.2,0.3,65.65,4991.23,21.3,0.4,3090000000.0,162722000000.0
2024/05,スタンダード市場,Standard,21 陸運業,21 Land Transportation,21.0,79.1,0.6,26.9,3496.4,15.4,0.7,16666000000.0,381679000000.0
2024/05,スタンダード市場,Standard,22 海運業,22 Marine Transportation,6.0,8.4,0.6,162.71,2262.74,4.4,0.5,19247000000.0,157438000000.0
2024/05,スタンダード市場,Standard,23 空運業,23 Air Transportation,3.0,13.6,5.2,134.79,349.79,9.1,1.3,6020000000.0,40912000000.0
2024/05,スタンダード市場,Standard,24 倉庫・運輸関連業,24 Warehousing & Harbor Transportation Services,22.0,8.8,0.5,155.98,2652.82,13.2,0.6,15945000000.0,338833000000.0
2024/05,スタンダード市場,Standard,25 情報・通信業,25 Information & Communication,181.0,18.4,1.7,65.34,715.25,26.7,2.6,148501333333.0,1520741000000.0
2024/05,スタンダード市場,Standard,26 卸売業,26 Wholesale Trade,165.0,12.1,0.8,143.88,2148.92,12.4,0.9,185243000000.0,2526790000000.0
2024/05,スタンダード市場,Standard,27 小売業,27 Retail Trade,174.0,29.6,1.5,42.32,859.28,32.2,1.8,130315583800.0,2371726653324.0
2024/05,スタンダード市場,Standard,28 銀行業,28 Banks,11.0,14.8,0.4,81.78,3345.81,24.2,1.1,23058162256.0,500050390000.0
2024/05,スタンダード市場,Standard,29 証券、商品先物取引業,29 Securities & Commodity Futures,17.0,12.3,0.9,65.14,885.4,10.2,1.0,27169000000.0,276899000000.0
2024/05,スタンダード市場,Standard,30 保険業,30 Insurance,"=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/05,スタンダード市場,Standard,31 その他金融業,31 Other Financing Business,14.0,14.8,1.2,42.11,542.67,9.9,0.9,84166000000.0,911938000000.0
2024/05,スタンダード市場,Standard,32 不動産業,32 Real Estate,67.0,8.3,0.9,128.93,1212.61,9.7,0.9,110961000000.0,1171384846500.0
2024/05,スタンダード市場,Standard,33 サービス業,33 Services,195.0,14.5,1.2,75.67,909.16,14.8,1.4,137544431333.0,1428516762343.0
2024/05,グロース市場,Growth,総合,Composite,574.0,47.7,3.1,24.51,372.48,112.3,3.4,60037580171.0,1996935579987.0
2024/05,グロース市場,Growth,総合（金融業を除く）,Non-Financial,563.0,49.5,3.2,23.38,365.59,120.6,3.4,52457580171.0,1857436579987.0
2024/05,グロース市場,Growth,　　　　　 製造業,　　　　 Manufacturing ,73.0,"=""－""",2.8,-13.77,270.43,"=""－""",2.4,-41477687000.0,377547043000.0
2024/05,グロース市場,Growth,　　　　 非製造業,　　　　 Non-Manufacturing ,490.0,42.1,3.2,28.91,379.77,57.8,3.7,93935267171.0,1479889536987.0
2024/05,グロース市場,Growth,1 水産・農林業,"1 Fishery,Agriculture & Forestry","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/05,グロース市場,Growth,2 鉱業,2 Mining,"=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/05,グロース市場,Growth,3 建設業,3 Construction,6.0,29.2,2.1,40.93,581.58,31.1,2.5,1565000000.0,19221000000.0
2024/05,グロース市場,Growth,4 食料品,4 Foods,4.0,"=""－""",4.7,-69.71,256.14,"=""－""",5.8,-2005000000.0,8681000000.0
2024/05,グロース市場,Growth,5 繊維製品,5 Textiles & Apparels,"=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/05,グロース市場,Growth,6 パルプ・紙,6 Pulp & Paper,"=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/05,グロース市場,Growth,7 化学,7 Chemicals,5.0,50.1,2.4,19.22,406.9,"=""－""",1.8,-121210000.0,20466830000.0
2024/05,グロース市場,Growth,8 医薬品,8 Pharmaceutical,35.0,"=""－""",3.5,-32.34,144.13,"=""－""",2.7,-34492000000.0,157983000000.0
2024/05,グロース市場,Growth,9 石油・石炭製品,9 Oil & Coal Products,"=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/05,グロース市場,Growth,10 ゴム製品,10 Rubber Products,"=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/05,グロース市場,Growth,11 ガラス・土石製品,11 Glass & Ceramics Products,"=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/05,グロース市場,Growth,12 鉄鋼,12 Iron & Steel,"=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/05,グロース市場,Growth,13 非鉄金属,13 Nonferrous Metals,3.0,116.7,1.7,12.14,842.7,"=""－""",1.3,-1378477000.0,11543213000.0
2024/05,グロース市場,Growth,14 金属製品,14 Metal Products,"=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/05,グロース市場,Growth,15 機械,15 Machinery,4.0,"=""－""",3.7,-17.67,219.7,"=""－""",3.6,-827000000.0,14849000000.0
2024/05,グロース市場,Growth,16 電気機器,16 Electric Appliances,6.0,"=""－""",3.3,-49.3,364.51,"=""－""",3.5,-3115000000.0,20961000000.0
2024/05,グロース市場,Growth,17 輸送用機器,17 Transportation Equipment,3.0,19.4,3.3,87.23,515.55,22.9,3.3,1410000000.0,9876000000.0
2024/05,グロース市場,Growth,18 精密機器,18 Precision Instruments,5.0,"=""－""",2.4,-24.68,120.74,"=""－""",1.7,-5642000000.0,55830000000.0
2024/05,グロース市場,Growth,19 その他製品,19 Other Products,8.0,14.0,1.8,62.61,486.7,24.6,1.5,4693000000.0,77357000000.0
2024/05,グロース市場,Growth,20 電気・ガス業,20 Electric Power & Gas,2.0,25.6,3.0,47.53,406.02,25.9,2.8,2163973600.0,20351545000.0
2024/05,グロース市場,Growth,21 陸運業,21 Land Transportation,"=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/05,グロース市場,Growth,22 海運業,22 Marine Transportation,"=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/05,グロース市場,Growth,23 空運業,23 Air Transportation,1.0,8.2,2.0,94.91,396.44,8.2,2.0,5726000000.0,23917000000.0
2024/05,グロース市場,Growth,24 倉庫・運輸関連業,24 Warehousing & Harbor Transportation Services,1.0,100.1,1.6,4.75,293.36,100.1,1.6,49000000.0,3024000000.0
2024/05,グロース市場,Growth,25 情報・通信業,25 Information & Communication,238.0,96.9,3.8,12.42,317.91,"=""－""",4.4,-5633401000.0,600250414000.0
2024/05,グロース市場,Growth,26 卸売業,26 Wholesale Trade,9.0,"=""－""",2.7,-18.28,343.53,45.5,2.9,2086000000.0,32284000000.0
2024/05,グロース市場,Growth,27 小売業,27 Retail Trade,33.0,78.1,3.2,15.69,379.93,51.3,3.9,10681335000.0,139699815258.0
2024/05,グロース市場,Growth,28 銀行業,28 Banks,"=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/05,グロース市場,Growth,29 証券、商品先物取引業,29 Securities & Commodity Futures,3.0,15.1,2.2,179.01,1210.55,22.2,3.3,10392000000.0,69800000000.0
2024/05,グロース市場,Growth,30 保険業,30 Insurance,4.0,60.9,1.8,20.14,698.23,"=""－""",2.6,-3373000000.0,61604000000.0
2024/05,グロース市場,Growth,31 その他金融業,31 Other Financing Business,4.0,24.0,4.5,72.69,388.14,50.9,3.5,561000000.0,8095000000.0
2024/05,グロース市場,Growth,32 不動産業,32 Real Estate,20.0,14.1,2.0,108.66,764.9,15.7,2.1,17142863000.0,129057840549.0
2024/05,グロース市場,Growth,33 サービス業,33 Services,180.0,26.6,2.9,45.79,413.92,28.5,3.3,60154496571.0,512083922180.0
2024/05,－,－,大型株,Large ,99.0,25.6,2.7,307.79,2928.36,20.7,1.8,29483400384615.0,341533282000000.0
2024/05,－,－,中型株,Medium ,393.0,19.8,1.5,180.81,2397.89,19.5,1.3,13629631818400.0,202583551420697.0
2024/05,－,－,小型株,Small ,1638.0,15.6,1.1,125.77,1831.38,16.9,1.1,5936806283098.0,88454305596568.0
2024/06,プライム市場,Prime,総合,Composite,1639.0,17.6,1.3,169.26,2326.75,17.4,1.4,56149116350496.0,695692486331051.0
2024/06,プライム市場,Prime,総合（金融業を除く）,Non-Financial,1523.0,18.0,1.4,168.32,2203.71,17.9,1.5,48040066503496.0,568842258028051.0
2024/06,プライム市場,Prime,　　　　　 製造業,　　　　 Manufacturing ,713.0,19.9,1.3,175.1,2660.26,18.8,1.6,27770207053306.0,328731868746280.0
2024/06,プライム市場,Prime,　　　　 非製造業,　　　　 Non-Manufacturing ,810.0,16.3,1.5,162.35,1801.83,16.7,1.4,20269859450190.0,240110389281771.0
2024/06,プライム市場,Prime,1 水産・農林業,"1 Fishery,Agriculture & Forestry",6.0,11.0,0.9,219.99,2565.78,11.5,1.0,65011000000.0,766068000000.0
2024/06,プライム市場,Prime,2 鉱業,2 Mining,5.0,7.5,0.7,612.75,6122.52,7.9,0.7,453375000000.0,5264430000000.0
2024/06,プライム市場,Prime,3 建設業,3 Construction,75.0,14.4,1.1,180.64,2388.27,13.6,1.1,1483944000000.0,18206853978000.0
2024/06,プライム市場,Prime,4 食料品,4 Foods,68.0,19.3,1.3,152.71,2326.32,19.8,1.6,1699478000000.0,20451319739064.0
2024/06,プライム市場,Prime,5 繊維製品,5 Textiles & Apparels,21.0,22.6,1.0,119.8,2646.89,29.6,0.9,120771909091.0,4093647000000.0
2024/06,プライム市場,Prime,6 パルプ・紙,6 Pulp & Paper,10.0,10.1,0.6,172.08,3068.24,11.4,0.6,142908000000.0,2933226000000.0
2024/06,プライム市場,Prime,7 化学,7 Chemicals,121.0,21.5,1.2,135.96,2518.64,25.2,1.5,2180707000000.0,36252896000000.0
2024/06,プライム市場,Prime,8 医薬品,8 Pharmaceutical,34.0,24.5,1.4,124.19,2248.06,40.1,2.1,1111878000000.0,21581665000000.0
2024/06,プライム市場,Prime,9 石油・石炭製品,9 Oil & Coal Products,6.0,8.5,0.9,255.71,2400.18,7.8,0.7,620601000000.0,6460661000000.0
2024/06,プライム市場,Prime,10 ゴム製品,10 Rubber Products,11.0,11.4,1.0,278.92,3197.41,11.7,1.1,563330000000.0,5909134000000.0
2024/06,プライム市場,Prime,11 ガラス・土石製品,11 Glass & Ceramics Products,23.0,18.2,1.4,263.0,3357.38,16.0,1.0,417771000000.0,6538880093647.0
2024/06,プライム市場,Prime,12 鉄鋼,12 Iron & Steel,22.0,8.6,0.7,337.29,4379.92,7.0,0.6,1128436000000.0,12295843000000.0
2024/06,プライム市場,Prime,13 非鉄金属,13 Nonferrous Metals,21.0,78.7,0.8,35.32,3315.63,17.0,0.9,402670000000.0,7889086000000.0
2024/06,プライム市場,Prime,14 金属製品,14 Metal Products,29.0,17.6,0.8,117.43,2701.71,18.0,0.9,265434000000.0,5047929000000.0
2024/06,プライム市場,Prime,15 機械,15 Machinery,113.0,19.2,1.7,236.7,2712.57,20.5,1.8,2553956000000.0,28765859000000.0
2024/06,プライム市場,Prime,16 電気機器,16 Electric Appliances,130.0,26.5,1.8,168.76,2490.09,26.8,2.3,5878450644215.0,67868265815509.0
2024/06,プライム市場,Prime,17 輸送用機器,17 Transportation Equipment,41.0,14.7,0.9,198.95,3424.74,10.7,1.1,8867944500000.0,87080861098060.0
2024/06,プライム市場,Prime,18 精密機器,18 Precision Instruments,27.0,22.4,1.9,159.93,1924.2,24.1,3.0,775702000000.0,6231845000000.0
2024/06,プライム市場,Prime,19 その他製品,19 Other Products,36.0,16.7,1.3,171.49,2149.76,21.3,2.4,1040169000000.0,9330751000000.0
2024/06,プライム市場,Prime,20 電気・ガス業,20 Electric Power & Gas,21.0,6.8,0.7,268.1,2499.75,5.5,0.7,2254184334000.0,16637446874171.0
2024/06,プライム市場,Prime,21 陸運業,21 Land Transportation,39.0,14.4,1.1,224.38,3047.02,12.9,1.1,1661141000000.0,19694814000000.0
2024/06,プライム市場,Prime,22 海運業,22 Marine Transportation,5.0,7.9,0.8,459.22,4421.56,9.2,0.8,632761000000.0,6969357000000.0
2024/06,プライム市場,Prime,23 空運業,23 Air Transportation,2.0,10.1,1.3,271.46,2171.47,10.1,1.3,252631000000.0,2000972000000.0
2024/06,プライム市場,Prime,24 倉庫・運輸関連業,24 Warehousing & Harbor Transportation Services,13.0,13.1,1.0,241.97,3201.14,14.2,0.9,111436000000.0,1684816000000.0
2024/06,プライム市場,Prime,25 情報・通信業,25 Information & Communication,181.0,22.0,2.2,118.55,1174.54,23.2,1.6,3828716100000.0,54635786000000.0
2024/06,プライム市場,Prime,26 卸売業,26 Wholesale Trade,124.0,12.8,1.1,228.25,2597.17,12.8,1.4,5135022000000.0,47330304000000.0
2024/06,プライム市場,Prime,27 小売業,27 Retail Trade,135.0,21.1,1.8,146.73,1680.32,26.1,2.2,1930111947710.0,23202608630420.0
2024/06,プライム市場,Prime,28 銀行業,28 Banks,68.0,12.7,0.4,181.15,5115.44,14.7,0.8,4723151847000.0,86472003303000.0
2024/06,プライム市場,Prime,29 証券、商品先物取引業,29 Securities & Commodity Futures,19.0,15.3,1.1,92.56,1292.88,15.7,0.9,490360000000.0,8383904000000.0
2024/06,プライム市場,Prime,30 保険業,30 Insurance,9.0,14.9,1.1,208.01,2774.69,14.0,1.3,1992639000000.0,21300430000000.0
2024/06,プライム市場,Prime,31 その他金融業,31 Other Financing Business,20.0,11.2,1.0,255.33,2995.18,13.0,1.1,902899000000.0,10693891000000.0
2024/06,プライム市場,Prime,32 不動産業,32 Real Estate,50.0,13.8,1.6,182.03,1574.76,14.1,1.3,1330030000000.0,14956544000000.0
2024/06,プライム市場,Prime,33 サービス業,33 Services,154.0,20.7,1.9,94.41,1004.79,42.0,1.7,1131496068480.0,28760388799180.0
2024/06,スタンダード市場,Standard,総合,Composite,1596.0,13.3,0.8,112.96,1787.02,16.4,1.1,1745036602917.0,26644475766916.0
2024/06,スタンダード市場,Standard,総合（金融業を除く）,Non-Financial,1554.0,13.3,0.8,114.54,1795.48,16.5,1.1,1623724212883.0,24867166606916.0
2024/06,スタンダード市場,Standard,　　　　　 製造業,　　　　 Manufacturing ,641.0,12.5,0.7,137.29,2333.86,14.5,0.8,750473000000.0,12902648011697.0
2024/06,スタンダード市場,Standard,　　　　 非製造業,　　　　 Non-Manufacturing ,913.0,14.0,1.0,98.56,1417.49,18.3,1.3,873251212883.0,11964518595219.0
2024/06,スタンダード市場,Standard,1 水産・農林業,"1 Fishery,Agriculture & Forestry",6.0,14.8,1.2,130.69,1636.36,11.1,0.9,4778000000.0,60637000000.0
2024/06,スタンダード市場,Standard,2 鉱業,2 Mining,1.0,10.7,3.3,127.62,415.6,10.7,3.3,7515720000.0,24475720000.0
2024/06,スタンダード市場,Standard,3 建設業,3 Construction,70.0,11.7,0.7,158.3,2513.34,19.3,0.9,61183000000.0,1292583000000.0
2024/06,スタンダード市場,Standard,4 食料品,4 Foods,52.0,17.1,1.2,132.18,1856.04,16.2,1.2,67647000000.0,938325000000.0
2024/06,スタンダード市場,Standard,5 繊維製品,5 Textiles & Apparels,28.0,13.9,0.6,86.29,2105.01,15.0,0.6,19840000000.0,466321000000.0
2024/06,スタンダード市場,Standard,6 パルプ・紙,6 Pulp & Paper,14.0,9.1,0.6,158.26,2423.68,11.0,0.6,12348000000.0,217680000000.0
2024/06,スタンダード市場,Standard,7 化学,7 Chemicals,82.0,18.3,0.8,117.49,2544.18,16.6,0.9,90127000000.0,1685787011697.0
2024/06,スタンダード市場,Standard,8 医薬品,8 Pharmaceutical,7.0,14.8,0.7,75.26,1497.78,12.7,1.0,5265000000.0,69008000000.0
2024/06,スタンダード市場,Standard,9 石油・石炭製品,9 Oil & Coal Products,4.0,13.3,0.7,82.09,1513.66,17.0,0.8,3853000000.0,79511000000.0
2024/06,スタンダード市場,Standard,10 ゴム製品,10 Rubber Products,7.0,8.4,0.6,187.99,2556.45,9.2,0.6,12418000000.0,178433000000.0
2024/06,スタンダード市場,Standard,11 ガラス・土石製品,11 Glass & Ceramics Products,31.0,8.0,0.7,185.22,1991.48,10.2,0.9,55967000000.0,614016000000.0
2024/06,スタンダード市場,Standard,12 鉄鋼,12 Iron & Steel,20.0,9.3,0.5,185.13,3302.78,10.6,0.5,27677000000.0,546406000000.0
2024/06,スタンダード市場,Standard,13 非鉄金属,13 Nonferrous Metals,10.0,15.7,0.7,75.59,1683.06,14.4,0.8,4775000000.0,90089000000.0
2024/06,スタンダード市場,Standard,14 金属製品,14 Metal Products,58.0,12.0,0.5,155.16,3387.61,19.4,0.6,31310000000.0,1049658000000.0
2024/06,スタンダード市場,Standard,15 機械,15 Machinery,105.0,11.7,0.8,153.56,2320.96,17.6,0.9,103780000000.0,2054576000000.0
2024/06,スタンダード市場,Standard,16 電気機器,16 Electric Appliances,101.0,14.2,0.8,119.93,2043.66,15.9,1.0,131313000000.0,2073316000000.0
2024/06,スタンダード市場,Standard,17 輸送用機器,17 Transportation Equipment,43.0,8.8,0.6,204.81,2788.25,10.2,0.6,107076000000.0,1716726000000.0
2024/06,スタンダード市場,Standard,18 精密機器,18 Precision Instruments,17.0,14.1,1.1,73.56,976.63,12.4,1.3,35453000000.0,327313000000.0
2024/06,スタンダード市場,Standard,19 その他製品,19 Other Products,62.0,10.4,0.5,116.14,2191.18,15.0,0.8,41624000000.0,795483000000.0
2024/06,スタンダード市場,Standard,20 電気・ガス業,20 Electric Power & Gas,4.0,"=""－""",0.4,-47.84,4916.69,77.6,0.4,911000000.0,161291000000.0
2024/06,スタンダード市場,Standard,21 陸運業,21 Land Transportation,21.0,8.9,0.6,238.65,3774.08,10.8,0.6,23812000000.0,405374000000.0
2024/06,スタンダード市場,Standard,22 海運業,22 Marine Transportation,6.0,18.2,0.6,75.84,2471.96,10.4,0.5,8353000000.0,175443000000.0
2024/06,スタンダード市場,Standard,23 空運業,23 Air Transportation,3.0,7.8,3.1,235.31,588.95,7.1,1.2,7852000000.0,47177000000.0
