Year/Month,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,No. of cos.,Average_PER(times),Average_PBR(times),"Average_Earnings
Per Share(Yen)","Average_Net Assets
Per Share(Yen)","Weighted average_
PER(times)","Weighted average_
PBR(times)","Weighted average_
Earnings(￥)","Weighted average_
Net Assets(￥)"
2024/01,プライム市場,Prime,30 保険業,30 Insurance,9.0,33.3,1.4,113.68,2782.45,24.8,1.3,789779000000.0,14866679000000.0
2024/01,プライム市場,Prime,31 その他金融業,31 Other Financing Business,20.0,12.2,1.1,253.78,2911.81,15.0,1.1,711826000000.0,9407478000000.0
2024/01,プライム市場,Prime,32 不動産業,32 Real Estate,51.0,14.0,1.5,178.83,1620.81,14.5,1.3,1222714000000.0,13935770000000.0
2024/01,プライム市場,Prime,33 サービス業,33 Services,158.0,19.8,2.1,102.38,953.82,35.4,1.7,1315113000000.0,27325622633518.0
2024/01,スタンダード市場,Standard,総合,Composite,1610.0,14.9,0.9,100.12,1711.73,17.8,1.1,1605571187483.0,25883922630435.0
2024/01,スタンダード市場,Standard,総合（金融業を除く）,Non-Financial,1568.0,15.0,0.9,101.09,1718.91,18.4,1.1,1482237025227.0,24228457240435.0
2024/01,スタンダード市場,Standard,　　　　　 製造業,　　　　 Manufacturing ,649.0,14.4,0.8,116.09,2211.48,17.2,0.9,639321720227.0,12896954980584.0
2024/01,スタンダード市場,Standard,　　　　 非製造業,　　　　 Non-Manufacturing ,919.0,15.5,1.0,90.5,1371.06,19.2,1.4,842915305000.0,11331502259851.0
2024/01,スタンダード市場,Standard,1 水産・農林業,"1 Fishery,Agriculture & Forestry",6.0,17.7,1.3,115.05,1603.44,13.8,0.9,3925000000.0,59016000000.0
2024/01,スタンダード市場,Standard,2 鉱業,2 Mining,1.0,27.7,5.7,62.02,303.04,27.7,5.7,3652720000.0,17846720000.0
2024/01,スタンダード市場,Standard,3 建設業,3 Construction,71.0,13.4,0.8,141.78,2494.48,13.7,1.0,88031212000.0,1232872254684.0
2024/01,スタンダード市場,Standard,4 食料品,4 Foods,53.0,26.1,1.2,85.52,1845.15,24.5,1.2,44089000000.0,886651914595.0
2024/01,スタンダード市場,Standard,5 繊維製品,5 Textiles & Apparels,28.0,16.1,0.6,70.38,1989.72,15.0,0.6,17538000000.0,435405000000.0
2024/01,スタンダード市場,Standard,6 パルプ・紙,6 Pulp & Paper,14.0,9.8,0.6,139.68,2229.77,10.0,0.6,12679000000.0,204845000000.0
2024/01,スタンダード市場,Standard,7 化学,7 Chemicals,84.0,14.8,0.8,124.5,2382.02,15.7,0.9,87168000000.0,1600685650000.0
2024/01,スタンダード市場,Standard,8 医薬品,8 Pharmaceutical,8.0,12.8,0.9,179.51,2546.76,28.0,0.9,28641000000.0,875624000000.0
2024/01,スタンダード市場,Standard,9 石油・石炭製品,9 Oil & Coal Products,4.0,92.6,0.8,11.8,1382.71,"=""－""",0.9,-283000000.0,73701000000.0
2024/01,スタンダード市場,Standard,10 ゴム製品,10 Rubber Products,7.0,10.7,0.7,154.6,2297.61,14.3,0.7,8056000000.0,157565000000.0
2024/01,スタンダード市場,Standard,11 ガラス・土石製品,11 Glass & Ceramics Products,31.0,15.9,0.8,93.97,1831.07,18.2,1.0,29269000000.0,541094000000.0
2024/01,スタンダード市場,Standard,12 鉄鋼,12 Iron & Steel,20.0,8.0,0.5,195.82,3054.78,11.7,0.5,23554000000.0,512035000000.0
2024/01,スタンダード市場,Standard,13 非鉄金属,13 Nonferrous Metals,11.0,12.1,0.8,100.39,1598.19,13.2,0.8,5420000000.0,89051000000.0
2024/01,スタンダード市場,Standard,14 金属製品,14 Metal Products,59.0,11.9,0.5,143.81,3141.89,14.9,0.6,37956000000.0,988829000000.0
2024/01,スタンダード市場,Standard,15 機械,15 Machinery,105.0,13.9,0.8,130.78,2177.53,16.3,0.9,106913431000.0,1915206502000.0
2024/01,スタンダード市場,Standard,16 電気機器,16 Electric Appliances,101.0,14.3,0.9,119.87,1917.55,12.8,1.0,154112289227.0,1932135913989.0
2024/01,スタンダード市場,Standard,17 輸送用機器,17 Transportation Equipment,45.0,20.9,0.6,81.64,2690.93,45.0,0.6,23014000000.0,1634912000000.0
2024/01,スタンダード市場,Standard,18 精密機器,18 Precision Instruments,17.0,16.6,1.1,59.63,927.23,17.8,1.4,23988000000.0,299465000000.0
2024/01,スタンダード市場,Standard,19 その他製品,19 Other Products,62.0,10.6,0.6,111.55,2072.18,15.0,0.7,37207000000.0,749749000000.0
2024/01,スタンダード市場,Standard,20 電気・ガス業,20 Electric Power & Gas,3.0,47.4,0.4,48.54,6560.52,39.8,0.4,1463000000.0,158851000000.0
2024/01,スタンダード市場,Standard,21 陸運業,21 Land Transportation,21.0,78.7,0.6,24.9,3487.58,14.4,0.6,16416000000.0,380575000000.0
2024/01,スタンダード市場,Standard,22 海運業,22 Marine Transportation,6.0,6.3,0.6,220.29,2297.74,4.4,0.6,20007000000.0,157900000000.0
2024/01,スタンダード市場,Standard,23 空運業,23 Air Transportation,3.0,13.8,5.3,134.79,349.79,9.2,1.4,6020000000.0,40912000000.0
2024/01,スタンダード市場,Standard,24 倉庫・運輸関連業,24 Warehousing & Harbor Transportation Services,22.0,8.5,0.5,160.59,2651.35,10.8,0.6,18685000000.0,339073000000.0
2024/01,スタンダード市場,Standard,25 情報・通信業,25 Information & Communication,181.0,19.9,1.8,67.23,725.57,29.8,2.9,147522289000.0,1505933529000.0
2024/01,スタンダード市場,Standard,26 卸売業,26 Wholesale Trade,165.0,11.6,0.8,149.93,2207.27,12.5,0.9,187895000000.0,2505777000000.0
2024/01,スタンダード市場,Standard,27 小売業,27 Retail Trade,176.0,35.6,1.5,36.16,864.28,41.3,1.8,103547891000.0,2352360823324.0
2024/01,スタンダード市場,Standard,28 銀行業,28 Banks,11.0,13.2,0.3,81.78,3345.81,15.9,0.7,23058162256.0,500050390000.0
2024/01,スタンダード市場,Standard,29 証券、商品先物取引業,29 Securities & Commodity Futures,18.0,12.3,0.8,60.48,945.01,13.0,1.0,20931000000.0,283523000000.0
2024/01,スタンダード市場,Standard,30 保険業,30 Insurance,"=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/01,スタンダード市場,Standard,31 その他金融業,31 Other Financing Business,13.0,12.0,1.2,52.63,524.56,10.2,0.9,79345000000.0,871892000000.0
2024/01,スタンダード市場,Standard,32 不動産業,32 Real Estate,69.0,8.7,0.9,118.26,1178.43,9.8,0.9,107673000000.0,1165211846500.0
2024/01,スタンダード市場,Standard,33 サービス業,33 Services,195.0,14.9,1.3,76.9,912.45,15.4,1.5,138077193000.0,1415173086343.0
2024/01,グロース市場,Growth,総合,Composite,558.0,48.0,3.5,26.86,371.63,274.0,3.7,25279296571.0,1863362284998.0
2024/01,グロース市場,Growth,総合（金融業を除く）,Non-Financial,546.0,49.4,3.5,25.91,365.3,293.2,3.8,22250958571.0,1739405747998.0
2024/01,グロース市場,Growth,　　　　　 製造業,　　　　 Manufacturing ,69.0,"=""－""",3.1,-21.48,245.67,"=""－""",2.6,-56973115000.0,362953864000.0
2024/01,グロース市場,Growth,　　　　 非製造業,　　　　 Non-Manufacturing ,477.0,41.3,3.5,32.76,382.6,70.3,4.0,79224073571.0,1376451883998.0
2024/01,グロース市場,Growth,1 水産・農林業,"1 Fishery,Agriculture & Forestry","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/01,グロース市場,Growth,2 鉱業,2 Mining,"=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
2024/01,グロース市場,Growth,3 建設業,3 Construction,7.0,19.5,1.5,52.51,681.47,24.1,1.9,2173000000.0,27274000000.0
2024/01,グロース市場,Growth,4 食料品,4 Foods,4.0,"=""－""",6.7,-71.07,261.5,"=""－""",7.2,-2157000000.0,9477000000.0
2024/01,グロース市場,Growth,5 繊維製品,5 Textiles & Apparels,"=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－""","=""－"""
