国債金利情報 (令和7年6月),,,,,,,,,,,,,,,(単位 : %)
基準日,1年,2年,3年,4年,5年,6年,7年,8年,9年,10年,15年,20年,25年,30年,40年
R6.3.13,0.052,0.197,0.206,0.293,0.38,0.4,0.478,0.575,0.664,0.773,1.186,1.506,1.653,1.776,1.919
R6.3.14,0.059,0.198,0.206,0.294,0.384,0.416,0.502,0.606,0.689,0.792,1.208,1.533,1.683,1.801,1.939
R6.3.15,0.059,0.193,0.206,0.299,0.393,0.426,0.513,0.615,0.698,0.802,1.217,1.542,1.7,1.812,1.956
R6.3.18,0.081,0.188,0.2,0.29,0.381,0.407,0.488,0.586,0.67,0.774,1.188,1.512,1.668,1.78,1.924
R6.3.19,0.06,0.178,0.19,0.28,0.367,0.392,0.47,0.563,0.646,0.744,1.162,1.486,1.657,1.772,1.92
R6.3.21,0.061,0.205,0.214,0.306,0.401,0.423,0.496,0.587,0.666,0.762,1.171,1.492,1.657,1.781,1.92
R6.3.22,0.071,0.206,0.231,0.314,0.41,0.425,0.495,0.588,0.667,0.762,1.171,1.492,1.661,1.786,1.932
R6.3.25,0.063,0.206,0.221,0.307,0.401,0.417,0.486,0.573,0.653,0.752,1.163,1.493,1.664,1.796,1.944
R6.3.26,0.063,0.207,0.221,0.302,0.396,0.418,0.491,0.577,0.657,0.757,1.168,1.497,1.662,1.791,1.94
R6.3.27,0.055,0.204,0.211,0.287,0.384,0.404,0.472,0.556,0.638,0.738,1.145,1.472,1.632,1.763,1.921
R6.3.28,0.054,0.196,0.205,0.277,0.368,0.389,0.457,0.541,0.624,0.73,1.124,1.458,1.617,1.75,1.904
R6.3.29,0.054,0.189,0.202,0.277,0.372,0.394,0.473,0.559,0.644,0.75,1.15,1.484,1.654,1.789,1.939
R6.4.1,0.035,0.195,0.206,0.288,0.389,0.409,0.487,0.574,0.659,0.765,1.173,1.511,1.67,1.806,1.96
R6.4.2,0.025,0.2,0.206,0.289,0.395,0.419,0.498,0.588,0.669,0.77,1.181,1.53,1.688,1.821,1.982
R6.4.3,0.016,0.191,0.196,0.278,0.386,0.409,0.499,0.588,0.669,0.77,1.178,1.52,1.684,1.813,1.979
R6.4.4,0.026,0.196,0.197,0.284,0.399,0.423,0.508,0.6,0.679,0.78,1.187,1.529,1.692,1.81,1.979
R6.4.5,0.036,0.211,0.217,0.297,0.404,0.425,0.504,0.595,0.674,0.771,1.178,1.52,1.685,1.806,1.967
R6.4.8,0.047,0.228,0.231,0.309,0.41,0.444,0.523,0.616,0.69,0.792,1.196,1.538,1.703,1.823,1.984
R6.4.9,0.037,0.223,0.228,0.309,0.414,0.444,0.519,0.612,0.69,0.786,1.192,1.535,1.707,1.836,1.995
R6.4.10,0.048,0.233,0.239,0.321,0.431,0.455,0.538,0.626,0.703,0.801,1.214,1.556,1.722,1.857,2.017
R6.4.11,0.068,0.27,0.28,0.37,0.485,0.508,0.592,0.68,0.757,0.854,1.289,1.625,1.78,1.907,2.065
R6.4.12,0.079,0.281,0.288,0.378,0.496,0.524,0.61,0.697,0.772,0.864,1.298,1.635,1.782,1.894,2.056
R6.4.15,0.084,0.275,0.285,0.373,0.486,0.515,0.607,0.693,0.772,0.864,1.295,1.635,1.783,1.894,2.058
R6.4.16,0.095,0.281,0.296,0.38,0.49,0.517,0.613,0.699,0.778,0.87,1.295,1.644,1.794,1.907,2.071
R6.4.17,0.1,0.288,0.303,0.385,0.496,0.536,0.633,0.723,0.801,0.889,1.317,1.662,1.816,1.92,2.079
R6.4.18,0.101,0.278,0.296,0.376,0.476,0.514,0.605,0.696,0.777,0.871,1.291,1.626,1.787,1.894,2.055
R6.4.19,0.091,0.263,0.286,0.361,0.457,0.495,0.58,0.67,0.75,0.837,1.26,1.595,1.759,1.869,2.027
R6.4.22,0.102,0.29,0.312,0.393,0.497,0.536,0.628,0.719,0.799,0.885,1.305,1.643,1.798,1.907,2.066
R6.4.23,0.099,0.297,0.315,0.396,0.499,0.536,0.629,0.718,0.798,0.886,1.318,1.658,1.819,1.927,2.094
R6.4.24,0.1,0.298,0.314,0.396,0.499,0.535,0.629,0.725,0.803,0.891,1.319,1.654,1.816,1.927,2.099
R6.4.25,0.101,0.298,0.315,0.398,0.503,0.543,0.634,0.729,0.808,0.896,1.327,1.658,1.816,1.927,2.094
R6.4.26,0.101,0.298,0.319,0.402,0.514,0.56,0.656,0.75,0.834,0.925,1.362,1.681,1.833,1.936,2.103
R6.4.30,0.095,0.275,0.31,0.379,0.478,0.517,0.603,0.703,0.782,0.879,1.322,1.646,1.81,1.911,2.073
R6.5.1,0.105,0.29,0.32,0.393,0.493,0.537,0.623,0.722,0.802,0.898,1.337,1.668,1.828,1.94,2.102
R6.5.2,0.095,0.29,0.321,0.393,0.494,0.538,0.628,0.727,0.807,0.908,1.343,1.682,1.838,1.952,2.12
R6.5.7,0.097,0.282,0.313,0.385,0.479,0.512,0.594,0.691,0.781,0.881,1.318,1.66,1.827,1.945,2.119
R6.5.8,0.107,0.288,0.317,0.39,0.489,0.516,0.604,0.701,0.785,0.887,1.322,1.656,1.822,1.937,2.114
R6.5.9,0.12,0.313,0.348,0.42,0.523,0.546,0.633,0.73,0.814,0.916,1.352,1.678,1.838,1.944,2.125
R6.5.10,0.128,0.319,0.356,0.43,0.526,0.546,0.636,0.73,0.814,0.917,1.361,1.691,1.853,1.965,2.144
R6.5.13,0.143,0.335,0.373,0.446,0.55,0.576,0.667,0.759,0.846,0.946,1.396,1.73,1.878,1.99,2.17
R6.5.14,0.153,0.346,0.394,0.47,0.571,0.592,0.678,0.774,0.865,0.969,1.413,1.753,1.902,2.01,2.2
R6.5.15,0.164,0.341,0.392,0.467,0.56,0.587,0.674,0.769,0.855,0.962,1.4,1.744,1.901,2.01,2.204
R6.5.16,0.155,0.326,0.377,0.445,0.539,0.557,0.64,0.736,0.827,0.934,1.375,1.717,1.882,1.993,2.194
R6.5.17,0.166,0.337,0.389,0.457,0.555,0.574,0.659,0.756,0.85,0.957,1.401,1.744,1.904,2.011,2.215
R6.5.20,0.167,0.349,0.404,0.477,0.585,0.604,0.693,0.786,0.879,0.987,1.423,1.766,1.925,2.034,2.237
R6.5.21,0.168,0.349,0.405,0.478,0.585,0.605,0.693,0.79,0.879,0.992,1.427,1.776,1.932,2.039,2.237
R6.5.22,0.172,0.356,0.408,0.481,0.595,0.615,0.703,0.799,0.889,1.007,1.452,1.809,1.97,2.084,2.301
R6.5.23,0.169,0.345,0.406,0.477,0.591,0.611,0.694,0.8,0.894,1.011,1.481,1.827,1.991,2.1,2.316
R6.5.24,0.17,0.345,0.407,0.481,0.596,0.62,0.709,0.81,0.903,1.016,1.482,1.835,1.997,2.104,2.302
R6.5.27,0.172,0.357,0.411,0.492,0.606,0.631,0.719,0.825,0.919,1.031,1.491,1.836,2.002,2.108,2.303
R6.5.28,0.173,0.357,0.412,0.492,0.602,0.631,0.723,0.83,0.928,1.047,1.488,1.832,2.005,2.12,2.312
R6.5.29,0.202,0.387,0.442,0.527,0.642,0.67,0.762,0.868,0.966,1.084,1.525,1.858,2.033,2.148,2.342
R6.5.30,0.214,0.399,0.44,0.528,0.641,0.669,0.753,0.854,0.947,1.066,1.515,1.841,2.024,2.132,2.326
R6.5.31,0.234,0.399,0.45,0.539,0.647,0.681,0.774,0.873,0.963,1.08,1.533,1.85,2.043,2.155,2.346
R6.6.3,0.227,0.401,0.449,0.537,0.64,0.671,0.76,0.86,0.953,1.071,1.527,1.855,2.042,2.168,2.373
R6.6.4,0.218,0.386,0.426,0.513,0.61,0.642,0.726,0.831,0.926,1.043,1.506,1.841,2.025,2.149,2.353
R6.6.5,0.198,0.356,0.393,0.48,0.576,0.608,0.693,0.804,0.898,1.014,1.473,1.816,1.992,2.112,2.314
R6.6.6,0.179,0.336,0.373,0.458,0.548,0.574,0.662,0.762,0.855,0.972,1.411,1.747,1.927,2.039,2.232
R6.6.7,0.181,0.351,0.387,0.474,0.559,0.59,0.679,0.785,0.874,0.986,1.428,1.761,1.937,2.043,2.237
R6.6.10,0.202,0.383,0.429,0.521,0.608,0.643,0.732,0.843,0.932,1.045,1.495,1.821,2.005,2.118,2.314
R6.6.11,0.195,0.372,0.419,0.516,0.601,0.639,0.728,0.838,0.927,1.035,1.483,1.81,1.992,2.111,2.311
R6.6.12,0.182,0.343,0.387,0.481,0.568,0.606,0.694,0.8,0.895,1,1.455,1.784,1.972,2.084,2.283
R6.6.13,0.173,0.332,0.377,0.474,0.556,0.596,0.675,0.777,0.876,0.982,1.439,1.762,1.948,2.063,2.247
R6.6.14,0.154,0.302,0.344,0.439,0.527,0.552,0.632,0.738,0.838,0.95,1.415,1.732,1.925,2.044,2.227
R6.6.17,0.145,0.291,0.335,0.43,0.516,0.538,0.619,0.726,0.83,0.947,1.43,1.755,1.949,2.068,2.271
R6.6.18,0.141,0.288,0.329,0.43,0.523,0.549,0.633,0.739,0.844,0.963,1.446,1.777,1.97,2.089,2.292
R6.6.19,0.137,0.286,0.33,0.421,0.518,0.544,0.629,0.731,0.835,0.955,1.43,1.758,1.946,2.071,2.271
R6.6.20,0.138,0.292,0.337,0.426,0.527,0.558,0.644,0.75,0.855,0.973,1.446,1.769,1.949,2.068,2.259
R6.6.21,0.148,0.313,0.351,0.444,0.557,0.574,0.664,0.77,0.878,0.999,1.468,1.792,1.967,2.086,2.275
R6.6.24,0.15,0.309,0.352,0.446,0.558,0.579,0.675,0.779,0.888,1.01,1.494,1.811,1.99,2.108,2.3
