ëÊÇPÅ|ÇTÅ|ÇTê}Å@ì˙ïƒâ¢ÇÃê≠çÙã‡óòÇ∆ÉoÉâÉìÉXÉVÅ[ÉgÇÃêÑà⁄,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÅiÇPÅjê≠çÙã‡óòÇÃêÑà⁄,,,,,ÅiÇQÅjÉoÉâÉìÉXÉVÅ[ÉgãKñÕ/ñºñ⁄ÇfÇcÇo,,,,,,,ÅiÇRÅjÉCÅ[ÉãÉhÉJÅ[ÉuÇÃêÑà⁄Åiì˙ñ{Åj,,,,,,,,,,,,,,,,
,,,ÅiÅìÅj,,,,,,ÅiÅìÅj,,,,,,,,,,,,,,,,,,,ÅiÅìÅj
îN,ÉAÉÅÉäÉJ,ÉÜÅ[Éç,ì˙ñ{,,îN,ä˙,ì˙ñ{,ÉAÉÅÉäÉJ,ÉÜÅ[Éç,,,îNåéì˙,3M,6M,1,2,3,4,5,6,7,8,9,10,15,20,30,40
,1,3.25,0.29,,,,,,,,,,,,,,,,,,,,,,,,,
,1,3.25,0.31,,,,,,,,,,,,,,,,,,,,,,,,,
,1,3.25,0.32,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2.5,0.26,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2.5,0.22,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,2.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,2.5,0.12,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.25,2.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,2.5,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,2,0.12,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,2,0.12,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,2,0.13,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,2,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,2,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,2,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,2,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.5,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.25,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.25,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.25,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.25,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.25,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
